Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
4-Aug-00,4-Aug-00,2000,2000,Space Cowboys,Warner Bros.,Adventure,Original Screenplay,Live Action,Science Fiction,"$65,000,000 ","2,805","2,835","28,370","$18,093,776 ","$90,454,043 ","$152,860,316 ","$38,420,000 ","$128,874,043 "
15-Dec-00,15-Dec-00,2000,2000,The Emperor's New Groove,Walt Disney,Adventure,Original Screenplay,Hand Animation,Kids Fiction,"$100,000,000 ","2,801","2,887","25,163","$9,812,302 ","$89,296,573 ","$147,823,260 ","$80,000,000 ","$169,296,573 "
4-Feb-00,4-Feb-00,2000,2000,Scream 3,Miramax,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","3,467","3,467","22,442","$34,713,342 ","$89,138,076 ","$150,658,228 ","$72,700,000 ","$161,838,076 "
8-Jun-01,8-Jun-01,2001,2001,Atlantis: The Lost Empire,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,"$90,000,000 ",2,"3,071","19,390","$329,011 ","$84,052,762 ","$135,286,333 ","$101,996,258 ","$186,049,020 "
21-Dec-01,21-Dec-01,2001,2001,Jimmy Neutron: Boy Genius,Paramount Pictures,Adventure,Based on TV,Digital Animation,Kids Fiction,"$25,000,000 ","3,139","3,151","21,769","$13,832,786 ","$80,936,232 ","$129,497,356 ","$22,056,304 ","$102,992,536 "
29-Jun-01,29-Jun-01,2001,2001,Artificial Intelligence: AI,Warner Bros.,Drama,Based on Fiction Book/Short Story,Animation/Live Action,Science Fiction,"$90,000,000 ","3,242","3,242","14,442","$29,352,630 ","$78,616,689 ","$126,536,752 ","$157,283,311 ","$235,900,000 "
21-Apr-00,21-Apr-00,2000,2000,U-571,Universal,Action,Original Screenplay,Live Action,Historical Fiction,"$62,000,000 ","2,583","2,820","21,521","$19,553,310 ","$77,086,030 ","$130,288,259 ","$50,544,000 ","$127,630,030 "
17-Nov-00,17-Nov-00,2000,2000,Rugrats in Paris,Paramount Pictures,Adventure,Based on TV,Hand Animation,Kids Fiction,"$30,000,000 ","2,934","2,957","23,927","$22,718,184 ","$76,501,438 ","$128,873,212 ","$26,783,375 ","$103,284,813 "
5-Oct-01,5-Oct-01,2001,2001,Training Day,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","2,712","2,712","16,254","$22,550,788 ","$76,261,036 ","$122,745,234 ","$28,244,326 ","$104,505,362 "
22-Dec-00,22-Dec-00,2000,2000,The Family Man,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$60,000,000 ","2,388","2,441","16,579","$15,104,055 ","$75,764,085 ","$125,423,938 ","$48,951,778 ","$124,715,863 "
6-Apr-01,6-Apr-01,2001,2001,Along Came a Spider,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$28,000,000 ","2,530","2,573","21,580","$16,712,407 ","$74,058,698 ","$119,200,478 ","$31,100,387 ","$105,159,085 "
4-Aug-00,4-Aug-00,2000,2000,Hollow Man,Sony Pictures,Horror,Original Screenplay,Live Action,Science Fiction,"$90,000,000 ","2,956","2,956","16,421","$26,414,386 ","$73,209,340 ","$123,736,001 ","$117,990,660 ","$191,200,000 "
13-Apr-01,13-Apr-01,2001,2001,Bridget Jones's Diary,Miramax,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000 ","1,611","2,547","19,712","$10,733,933 ","$71,500,556 ","$115,083,050 ","$210,026,602 ","$281,527,158 "
15-Dec-00,15-Dec-00,2000,2000,Chocolat,Miramax,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$25,000,000 ",8,"1,928","23,207","$157,624 ","$71,309,760 ","$115,118,524 ","$81,190,583 ","$152,500,343 "
4-Jul-01,4-Jul-01,2001,2001,Scary Movie 2,Miramax/Dimension,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","3,220","3,220","13,642","$20,503,356 ","$71,277,420 ","$114,723,897 ","$69,911,681 ","$141,189,101 "
13-Jul-01,13-Jul-01,2001,2001,The Score,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$68,000,000 ","2,129","2,211","14,660","$19,018,807 ","$71,069,884 ","$114,389,861 ","$42,472,207 ","$113,542,091 "
9-Nov-01,9-Nov-01,2001,2001,Shallow Hal,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","2,770","2,803","18,138","$22,518,295 ","$70,836,296 ","$113,930,015 ",$0 ,"$70,836,296 "
16-Jun-00,16-Jun-00,2000,2000,Shaft,Paramount Pictures,Action,Remake,Live Action,Contemporary Fiction,"$53,012,938 ","2,337","2,433","15,025","$21,714,757 ","$70,327,868 ","$118,865,832 ","$36,862,240 ","$107,190,108 "
8-Jun-01,8-Jun-01,2001,2001,Swordfish,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","2,678","2,688","14,232","$18,145,632 ","$69,772,969 ","$112,302,423 ","$77,307,444 ","$147,080,413 "
7-Jul-00,7-Jul-00,2000,2000,The Kid,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000 ","2,167","2,343","19,291","$12,687,726 ","$69,688,384 ","$117,785,003 ",$0 ,"$69,688,384 "
19-May-00,19-May-00,2000,2000,Road Trip,Dreamworks SKG,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ","2,530","2,654","17,772","$15,484,004 ","$68,525,609 ","$115,819,721 ","$51,213,501 ","$119,739,110 "
8-Dec-00,8-Dec-00,2000,2000,Vertical Limit,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000 ","2,307","2,602","17,832","$15,507,845 ","$68,473,360 ","$114,393,550 ","$145,026,640 ","$213,500,000 "
25-Aug-00,25-Aug-00,2000,2000,Bring it On,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","2,380","2,466","23,852","$17,362,105 ","$68,353,550 ","$115,528,911 ","$22,100,000 ","$90,453,550 "
22-Nov-00,22-Nov-00,2000,2000,102 Dalmatians,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$85,000,000 ","2,704","2,704","20,319","$19,883,351 ","$66,941,559 ","$112,448,565 ",$0 ,"$66,941,559 "
2-Mar-01,2-Mar-01,2001,2001,The Mexican,Dreamworks SKG,Action,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","2,951","3,162","18,015","$20,108,829 ","$66,808,615 ","$107,531,179 ","$78,429,635 ","$145,238,250 "
16-Feb-01,16-Feb-01,2001,2001,Down to Earth,Paramount Pictures,Comedy,Remake,Live Action,Fantasy,"$30,000,000 ","2,521","2,524","18,342","$20,027,309 ","$64,172,251 ","$103,287,841 ","$7,000,000 ","$71,172,251 "
21-Nov-01,21-Nov-01,2001,2001,Spy Game,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000 ","2,770","2,770","13,680","$21,689,125 ","$62,362,560 ","$100,337,294 ","$80,687,000 ","$143,049,560 "
7-Apr-00,7-Apr-00,2000,2000,Rules of Engagement,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$60,000,000 ","3,155","3,220","21,048","$15,011,181 ","$61,322,858 ","$103,645,864 ","$10,397,073 ","$71,719,931 "
18-Aug-00,18-Aug-00,2000,2000,The Cell,New Line,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$35,000,000 ","2,411","2,476","17,620","$17,515,050 ","$61,280,963 ","$103,575,052 ","$24,630,263 ","$85,911,226 "
10-Mar-00,10-Mar-00,2000,2000,Mission to Mars,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,"$90,000,000 ","3,054","3,101","16,368","$22,855,247 ","$60,874,615 ","$102,888,258 ","$45,125,385 ","$106,000,000 "
4-Aug-00,4-Aug-00,2000,2000,Coyote Ugly,Walt Disney,Drama,Based on Real Life Events,Live Action,Contemporary Fiction,"$45,000,000 ","2,653","2,664","18,567","$17,319,282 ","$60,786,269 ","$102,738,936 ","$53,130,205 ","$113,916,474 "
26-Jan-01,26-Jan-01,2001,2001,The Wedding Planner,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000 ","2,785","2,785","18,085","$13,510,293 ","$60,400,856 ","$97,217,629 ","$34,327,673 ","$94,728,529 "
11-Feb-00,11-Feb-00,2000,2000,Snow Day,Paramount Pictures,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ","2,664","2,717","21,325","$14,331,819 ","$60,008,303 ","$101,424,044 ","$2,444,624 ","$62,452,927 "
30-Nov-01,30-Nov-01,2001,2001,Behind Enemy Lines,20th Century Fox,Action,Original Screenplay,Live Action,Historical Fiction,"$40,000,000 ","2,770","2,844","16,626","$18,736,133 ","$58,855,732 ","$94,516,751 ",$0 ,"$58,855,732 "
25-Dec-01,25-Dec-01,2001,2001,Ali,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$109,000,000 ","2,446","2,521","10,198","$14,710,892 ","$58,183,966 ","$93,287,247 ","$29,500,000 ","$87,683,966 "
18-May-01,18-May-01,2001,2001,Moulin Rouge,20th Century Fox,Musical,Original Screenplay,Live Action,Historical Fiction,"$53,000,000 ",2,"2,283","13,405","$167,540 ","$57,386,369 ","$92,352,352 ","$121,813,167 ","$179,199,536 "
18-Feb-00,18-Feb-00,2000,2000,The Whole Nine Yards,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$24,000,000 ","2,910","2,910","19,911","$15,915,676 ","$57,262,492 ","$96,783,164 ","$28,265,375 ","$85,527,867 "
12-Jan-00,12-Jan-00,2000,2000,Next Friday,New Line,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$9,500,000 ","1,103","2,012","11,193","$16,918,226 ","$57,176,582 ","$96,637,969 ","$2,498,725 ","$59,675,307 "
26-May-00,26-May-00,2000,2000,Shanghai Noon,Walt Disney,Western,Original Screenplay,Live Action,Historical Fiction,"$55,000,000 ","2,711","2,751","15,552","$19,647,065 ","$56,932,305 ","$96,225,095 ","$14,257,530 ","$71,189,835 "
17-Aug-01,17-Aug-01,2001,2001,Rat Race,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$48,000,000 ","2,550","2,551","20,211","$11,662,094 ","$56,607,223 ","$91,111,624 ","$30,000,000 ","$86,607,223 "
11-May-01,11-May-01,2001,2001,A Knight’s Tale,Sony Pictures,Adventure,Original Screenplay,Live Action,Historical Fiction,"$41,000,000 ","2,980","2,980","15,265","$16,511,391 ","$56,083,966 ","$90,269,414 ","$44,538,620 ","$100,622,586 "
22-Mar-00,22-Mar-00,2000,2000,Romeo Must Die,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","2,641","2,641","13,642","$18,014,503 ","$55,973,336 ","$94,604,280 ","$35,063,424 ","$91,036,760 "
1-Jun-01,1-Jun-01,2001,2001,The Animal,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000 ","2,788","2,788","13,023","$19,610,520 ","$55,762,229 ","$89,751,565 ",$0 ,"$55,762,229 "
28-Sep-01,28-Sep-01,2001,2001,Don’t Say a Word,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","2,802","2,842","15,035","$17,090,474 ","$54,997,476 ","$88,518,709 ","$49,490,907 ","$104,488,383 "
20-Oct-00,20-Oct-00,2000,2000,Dolphins,MacGillivray Freeman Films,Documentary,Based on Real Life Events,Live Action,Factual,$0 ,0,0,0,$0 ,"$54,000,000 ","$91,269,009 ","$15,600,000 ","$69,600,000 "
17-Mar-00,17-Mar-00,2000,2000,Final Destination,New Line,Horror,Original Screenplay,Live Action,Fantasy,"$23,000,000 ","2,587","2,587","18,394","$10,015,822 ","$53,302,314 ","$90,089,810 ","$58,734,556 ","$112,036,870 "
6-Apr-01,6-Apr-01,2001,2001,Blow,New Line,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$30,000,000 ","2,249","2,249","14,264","$12,443,461 ","$52,990,775 ","$85,290,799 ","$30,291,521 ","$83,282,296 "
14-Dec-01,14-Dec-01,2001,2001,The Royal Tenenbaums,Walt Disney,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000 ",5,999,"7,941","$276,981 ","$52,353,636 ","$82,949,839 ","$19,077,240 ","$71,430,876 "
19-Dec-00,19-Dec-00,2000,2000,Finding Forrester,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$43,000,000 ",200,"2,002","14,087","$701,207 ","$51,768,623 ","$83,751,154 ","$28,245,000 ","$80,013,623 "
16-Mar-01,16-Mar-01,2001,2001,Exit Wounds,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$33,000,000 ","2,830","2,830","15,508","$18,485,586 ","$51,758,599 ","$83,307,561 ","$28,200,000 ","$79,958,599 "
16-Mar-01,16-Mar-01,2001,2001,Enemy at the Gates,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Historical Fiction,"$85,000,000 ","1,509","1,724","14,352","$13,810,266 ","$51,396,781 ","$82,725,204 ","$45,574,512 ","$96,971,293 "
3-May-02,3-May-02,2002,2002,Spider-Man,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,"$139,000,000 ","3,615","3,876","31,297","$114,844,116 ","$403,706,375 ","$633,006,036 ","$418,000,000 ","$821,706,375 "
30-May-03,30-May-03,2003,2003,Finding Nemo,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$94,000,000 ","3,374","3,425","50,008","$70,251,710 ","$380,529,370 ","$559,944,647 ","$555,651,641 ","$936,181,011 "
17-Dec-03,17-Dec-03,2003,2003,The Lord of the Rings: The Return of …,New Line,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$94,000,000 ","3,703","3,703","35,419","$72,629,713 ","$377,845,905 ","$566,753,142 ","$742,378,141 ","$1,120,224,046 "
18-Dec-02,18-Dec-02,2002,2002,The Lord of the Rings: The Two Towers,New Line,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$94,000,000 ","3,622","3,622","32,379","$62,007,528 ","$342,548,984 ","$532,244,571 ","$585,049,265 ","$927,598,249 "
16-May-02,16-May-02,2002,2002,Star Wars Ep. II: Attack of the Clones,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,"$115,000,000 ","3,161","3,161","24,854","$80,027,814 ","$310,676,740 ","$487,136,844 ","$346,018,875 ","$656,695,615 "
9-Jul-03,9-Jul-03,2003,2003,Pirates of the Caribbean: The Curse o…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Fantasy,"$140,000,000 ","3,269","3,416","36,876","$46,630,690 ","$305,410,819 ","$461,408,382 ","$348,900,000 ","$654,310,819 "
15-May-03,15-May-03,2003,2003,The Matrix Reloaded,Warner Bros.,Action,Original Screenplay,Animation/Live Action,Science Fiction,"$150,000,000 ","3,603","3,603","23,265","$91,774,413 ","$281,553,689 ","$425,365,523 ","$457,023,240 ","$738,576,929 "
15-Nov-02,15-Nov-02,2002,2002,Harry Potter and the Chamber of Secrets,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$100,000,000 ","3,682","3,682","31,179","$88,357,488 ","$262,233,381 ","$410,227,600 ","$616,991,754 ","$879,225,135 "
23-May-03,23-May-03,2003,2003,Bruce Almighty,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$81,000,000 ","3,483","3,549","27,824","$67,953,330 ","$242,704,995 ","$366,673,710 ","$241,763,613 ","$484,468,608 "
19-Apr-02,19-Apr-02,2002,2002,My Big Fat Greek Wedding,IFC Films,Romantic Comedy,Based on Play,Live Action,Contemporary Fiction,"$5,000,000 ",108,"2,016","46,922","$597,362 ","$241,438,208 ","$377,797,221 ","$133,451,826 ","$374,890,034 "
2-Aug-02,2-Aug-02,2002,2002,Signs,Walt Disney,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$70,702,619 ","3,264","3,453","32,710","$60,116,619 ","$227,969,295 ","$357,440,160 ","$180,281,283 ","$408,250,578 "
2-May-03,30-Apr-03,2003,2003,X-Men 2,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$125,000,000 ","3,741","3,749","24,588","$85,558,731 ","$214,949,694 ","$324,741,574 ","$191,398,936 ","$406,348,630 "
25-Jul-02,25-Jul-02,2002,2002,Austin Powers in Goldmember,New Line,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$63,000,000 ","3,613","3,613","26,320","$73,071,188 ","$213,117,789 ","$334,165,750 ","$83,220,874 ","$296,338,663 "
3-Jul-02,3-Jul-02,2002,2002,Men in Black 2,Sony Pictures,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,"$140,000,000 ","3,557","3,641","21,870","$52,148,751 ","$190,418,803 ","$298,574,055 ","$251,349,000 ","$441,767,803 "
15-Mar-02,15-Mar-02,2002,2002,Ice Age,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$65,000,000 ","3,316","3,345","30,039","$46,312,454 ","$176,387,405 ","$276,573,013 ","$209,728,938 ","$386,116,343 "
7-Nov-03,7-Nov-03,2003,2003,Elf,New Line,Adventure,Original Screenplay,Live Action,Kids Fiction,"$32,000,000 ","3,337","3,381","28,055","$31,113,501 ","$174,626,840 ","$261,854,770 ","$46,837,892 ","$221,464,732 "
27-Dec-02,27-Dec-02,2002,2002,Chicago,Miramax,Musical,Based on Musical or Opera,Live Action,Historical Fiction,"$30,000,000 ",77,"2,701","33,912","$2,074,929 ","$170,687,518 ","$258,399,866 ","$136,083,027 ","$306,770,545 "
25-Dec-02,25-Dec-02,2002,2002,Catch Me if You Can,Dreamworks SKG,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$52,000,000 ","3,156","3,225","23,641","$30,082,000 ","$164,606,800 ","$254,258,652 ","$191,005,491 ","$355,612,291 "
22-Nov-02,22-Nov-02,2002,2002,Die Another Day,MGM,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$142,000,000 ","3,314","3,377","24,509","$47,072,040 ","$160,942,139 ","$251,944,803 ","$271,000,000 ","$431,942,139 "
14-Jun-02,14-Jun-02,2002,2002,Scooby-Doo,Warner Bros.,Adventure,Based on TV,Live Action,Kids Fiction,"$84,000,000 ","3,447","3,447","21,001","$54,155,312 ","$153,294,164 ","$240,363,132 ","$123,000,000 ","$276,294,164 "
1-Jul-03,1-Jul-03,2003,2003,Terminator 3: Rise of the Machines,Warner Bros.,Action,Original Screenplay,Animation/Live Action,Science Fiction,"$170,000,000 ","3,504","3,504","18,883","$44,041,440 ","$150,358,296 ","$227,158,214 ","$282,700,000 ","$433,058,296 "
21-Jun-02,21-Jun-02,2002,2002,Lilo & Stitch,Walt Disney,Adventure,Original Screenplay,Hand Animation,Kids Fiction,"$80,000,000 ","3,191","3,222","24,855","$35,260,212 ","$145,771,527 ","$228,567,741 ","$100,028,473 ","$245,800,000 "
9-Aug-02,9-Aug-02,2002,2002,xXx,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","3,374","3,536","24,381","$44,506,103 ","$141,930,000 ","$222,544,282 ","$125,270,000 ","$267,200,000 "
5-Nov-03,5-Nov-03,2003,2003,The Matrix Revolutions,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$150,000,000 ","3,502","3,502","15,480","$48,475,154 ","$139,270,910 ","$210,364,859 ","$288,029,350 ","$427,300,260 "
1-Nov-02,1-Nov-02,2002,2002,The Santa Clause 2,Walt Disney,Adventure,Original Screenplay,Live Action,Kids Fiction,"$65,000,000 ","3,350","3,352","26,016","$29,008,696 ","$139,225,854 ","$218,249,983 ","$33,600,000 ","$172,825,854 "
25-Dec-03,25-Dec-03,2003,2003,Cheaper by the Dozen,20th Century Fox,Comedy,Remake,Live Action,Contemporary Fiction,"$40,000,000 ","3,298","3,307","24,580","$27,557,647 ","$138,614,544 ","$207,095,325 ","$51,597,569 ","$190,212,113 "
18-Jul-03,18-Jul-03,2003,2003,Bad Boys II,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,"$130,000,000 ","3,186","3,202","18,101","$46,522,560 ","$138,540,870 ","$209,304,691 ","$134,731,112 ","$273,271,982 "
11-Apr-03,11-Apr-03,2003,2003,Anger Management,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$56,000,000 ","3,551","3,656","23,639","$42,220,847 ","$135,560,942 ","$204,802,675 ","$59,923,610 ","$195,484,552 "
7-Mar-03,7-Mar-03,2003,2003,Bringing Down the House,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","2,801","2,910","25,670","$31,101,026 ","$132,675,402 ","$200,443,267 ","$32,000,000 ","$164,675,402 "
20-Jun-03,20-Jun-03,2003,2003,Hulk,Universal,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$137,000,000 ","3,660","3,674","16,882","$62,128,420 ","$132,177,234 ","$199,690,644 ","$112,854,445 ","$245,031,679 "
21-Jun-02,21-Jun-02,2002,2002,Minority Report,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$102,000,000 ","3,001","3,001","18,423","$35,677,125 ","$132,024,714 ","$207,012,925 ","$226,800,000 ","$358,824,714 "
18-Oct-02,18-Oct-02,2002,2002,The Ring,Dreamworks SKG,Horror,Remake,Live Action,Contemporary Fiction,"$48,000,000 ","1,981","2,927","23,134","$15,015,393 ","$129,094,024 ","$202,311,026 ","$119,124,462 ","$248,218,486 "
27-Sep-02,27-Sep-02,2002,2002,Sweet Home Alabama,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","3,293","3,313","26,056","$35,648,740 ","$127,214,072 ","$199,405,419 ","$55,151,042 ","$182,365,114 "
6-Jun-03,6-Jun-03,2003,2003,2 Fast 2 Furious,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$76,000,000 ","3,408","3,418","18,242","$50,472,480 ","$127,120,058 ","$192,050,361 ","$109,290,549 ","$236,410,607 "
28-Jun-02,28-Jun-02,2002,2002,Mr. Deeds,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","3,231","3,239","20,336","$37,162,787 ","$126,293,452 ","$198,026,393 ","$44,976,083 ","$171,269,535 "
12-Dec-03,12-Dec-03,2003,2003,Something's Gotta Give,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","2,677","2,876","25,142","$16,064,723 ","$124,685,242 ","$186,468,153 ","$142,000,000 ","$266,685,242 "
14-Jun-02,14-Jun-02,2002,2002,The Bourne Identity,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$60,000,000 ","2,638","2,663","20,715","$27,118,640 ","$121,468,960 ","$190,461,649 ","$92,888,411 ","$214,357,371 "
25-Jul-03,25-Jul-03,2003,2003,Seabiscuit,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$86,000,000 ","1,987","2,573","23,703","$20,854,735 ","$120,277,854 ","$181,713,307 ","$28,437,488 ","$148,715,342 "
31-May-02,31-May-02,2002,2002,The Sum of All Fears,Paramount Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$68,000,000 ","3,183","3,230","20,271","$31,178,526 ","$118,471,320 ","$185,761,391 ","$75,028,680 ","$193,500,000 "
8-Aug-03,8-Aug-03,2003,2003,S.W.A.T.,Sony Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$70,000,000 ","3,202","3,220","20,259","$37,062,535 ","$116,877,597 ","$176,576,269 ","$90,277,151 ","$207,154,748 "
8-Nov-02,8-Nov-02,2002,2002,8 Mile,Universal,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$41,000,000 ","2,470","2,587","15,969","$51,240,555 ","$116,724,075 ","$182,938,566 ","$129,044,309 ","$245,768,384 "
25-Jul-03,25-Jul-03,2003,2003,Spy Kids 3-D: Game Over,Miramax/Dimension,Adventure,Original Screenplay,Live Action,Kids Fiction,"$40,000,000 ","3,344","3,388","24,124","$33,417,739 ","$111,760,631 ","$168,842,062 ","$56,091,364 ","$167,851,995 "
5-Dec-03,5-Dec-03,2003,2003,The Last Samurai,Warner Bros.,Action,Original Screenplay,Live Action,Historical Fiction,"$140,000,000 ","2,908","2,938","21,113","$24,271,354 ","$111,110,575 ","$166,939,875 ","$345,700,000 ","$456,810,575 "
6-Aug-03,6-Aug-03,2003,2003,Freaky Friday,Walt Disney,Comedy,Remake,Live Action,Contemporary Fiction,"$26,000,000 ","2,954","3,067","24,461","$22,203,007 ","$110,222,438 ","$166,519,950 ","$50,600,000 ","$160,822,438 "
24-Oct-03,24-Oct-03,2003,2003,Scary Movie 3,Miramax/Dimension,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","3,505","3,505","18,762","$48,113,770 ","$110,000,082 ","$166,166,728 ","$45,199,918 ","$155,200,000 "
30-May-03,30-May-03,2003,2003,The Italian Job,Paramount Pictures,Adventure,Remake,Live Action,Contemporary Fiction,"$60,000,000 ","2,633","2,877","23,059","$19,457,944 ","$106,126,012 ","$160,332,994 ","$70,136,827 ","$176,262,839 "
7-Feb-03,7-Feb-03,2003,2003,How to Lose a Guy in 10 Days,Paramount Pictures,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","2,923","2,923","23,447","$23,774,850 ","$105,807,520 ","$159,851,822 ","$72,696,268 ","$178,503,788 "
1-Aug-03,1-Aug-03,2003,2003,American Wedding,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","3,172","3,195","17,615","$33,369,440 ","$104,354,205 ","$157,656,184 ","$22,070,910 ","$126,425,115 "
9-May-03,9-May-03,2003,2003,Daddy Day Care,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$60,000,000 ","3,370","3,472","24,391","$27,623,580 ","$104,148,781 ","$157,345,834 ","$60,136,806 ","$164,285,587 "
12-Jul-02,12-Jul-02,2002,2002,Road to Perdition,Dreamworks SKG,Drama,Based on Comic/Graphic Novel,Live Action,Historical Fiction,"$80,000,000 ","1,797","2,332","20,562","$22,079,481 ","$104,054,514 ","$163,156,037 ","$79,300,000 ","$183,354,514 "
14-Feb-03,14-Feb-03,2003,2003,Daredevil,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$80,000,000 ","3,471","3,474","19,227","$40,310,418 ","$102,543,518 ","$154,920,633 ","$80,239,000 ","$182,782,518 "
21-Nov-03,21-Nov-03,2003,2003,The Cat in the Hat,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$109,000,000 ","3,464","3,467","19,318","$38,329,160 ","$101,018,283 ","$152,544,745 ","$32,800,000 ","$133,818,283 "
27-Jun-03,27-Jun-03,2003,2003,Charlie's Angels: Full Throttle,Sony Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$120,000,000 ","3,459","3,485","17,144","$37,634,221 ","$100,814,328 ","$152,308,213 ","$126,348,945 ","$227,163,273 "
