Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
14-Dec-84,14-Dec-84,1984,1984,Starman,Sony Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,$0 ,"1,261","1,271","10,002","$2,872,022 ","$28,700,000 ","$76,284,890 ",$0 ,"$28,700,000 "
29-Jun-84,29-Jun-84,1984,1984,Cannonball Run II,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,778","1,845","6,785","$8,323,948 ","$28,100,000 ","$76,187,795 ",$0 ,"$28,100,000 "
5-Oct-84,5-Oct-84,1984,1984,Teachers,MGM/UA Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,721","1,721","9,429","$7,013,366 ","$27,700,000 ","$75,103,268 ",$0 ,"$27,700,000 "
14-Dec-84,14-Dec-84,1984,1984,Dune,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$45,000,000 ",915,975,"5,163","$6,025,091 ","$27,447,471 ","$73,899,127 ",$0 ,"$27,447,471 "
29-Mar-85,29-Mar-85,1985,1985,Desperately Seeking Susan,Orion Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,268,"1,180","9,560","$1,526,098 ","$27,400,000 ","$70,313,795 ",$0 ,"$27,400,000 "
14-Dec-84,14-Dec-84,1984,1984,A Passage to India,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$27,500,000 ",3,650,"6,138","$84,580 ","$27,187,653 ","$69,963,424 ",$0 ,"$27,187,653 "
14-Jun-85,14-Jun-85,1985,1985,Prizzi's Honor,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,719,722,"6,687","$4,234,537 ","$26,700,000 ","$68,517,458 ",$0 ,"$26,700,000 "
29-Jun-84,29-Jun-84,1984,1984,Conan the Destroyer,Universal,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,"$18,000,000 ","1,120","1,250","5,272","$6,876,768 ","$26,400,000 ","$71,578,564 ",$0 ,"$26,400,000 "
21-Dec-84,21-Dec-84,1984,1984,Protocol,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,893,904,"7,854","$3,427,840 ","$26,300,000 ","$69,767,824 ",$0 ,"$26,300,000 "
21-Dec-84,21-Dec-84,1984,1984,Micki + Maude,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,794,876,"8,159","$2,742,458 ","$26,200,000 ","$69,174,289 ",$0 ,"$26,200,000 "
14-Dec-84,14-Dec-84,1984,1984,The Cotton Club,Orion Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,"$48,000,000 ",808,809,"6,967","$2,903,603 ","$25,928,721 ","$68,954,966 ",$0 ,"$25,928,721 "
13-Sep-85,13-Sep-85,1985,1985,Agnes of God,Sony Pictures,Drama,Based on Play,Live Action,Contemporary Fiction,$0 ,8,646,"6,651","$220,642 ","$25,627,836 ","$65,766,074 ",$0 ,"$25,627,836 "
13-Jul-84,13-Jul-84,1984,1984,The Muppets Take Manhattan,Sony/TriStar,Comedy,Based on TV,Live Action,Contemporary Fiction,$0 ,"1,261","1,261","7,317","$4,416,022 ","$25,534,703 ","$69,232,474 ",$0 ,"$25,534,703 "
9-Nov-84,9-Nov-84,1984,1984,A Nightmare on Elm Street,New Line,Horror,Original Screenplay,Live Action,Fantasy,"$1,800,000 ",165,274,"1,257","$1,271,000 ","$25,504,513 ","$69,150,621 ",$0 ,"$25,504,513 "
15-Aug-84,15-Aug-84,1984,1984,The Woman in Red,Orion Pictures,Comedy,Remake,Live Action,Contemporary Fiction,$0 ,"1,066","1,069","8,158","$3,165,833 ","$25,308,147 ","$68,618,214 ",$0 ,"$25,308,147 "
2-Mar-84,2-Mar-84,1984,1984,Against All Odds,Sony Pictures,Drama,Remake,Live Action,Contemporary Fiction,$0 ,976,979,"6,163","$3,766,128 ","$25,100,000 ","$68,053,868 ",$0 ,"$25,100,000 "
6-Apr-84,6-Apr-84,1984,1984,Moscow on the Hudson,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,618,721,"5,568","$3,536,687 ","$25,100,000 ","$68,053,868 ",$0 ,"$25,100,000 "
2-Aug-85,2-Aug-85,1985,1985,Fright Night,Sony Pictures,Horror,Original Screenplay,Live Action,Fantasy,$0 ,"1,542","1,545","7,340","$6,118,543 ","$24,922,237 ","$63,955,370 ",$0 ,"$24,922,237 "
9-Aug-85,9-Aug-85,1985,1985,Summer Rental,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,584","1,595","7,380","$5,754,289 ","$24,671,000 ","$63,310,646 ",$0 ,"$24,671,000 "
3-Jul-85,3-Jul-85,1985,1985,The Emerald Forest,Avco Embassy,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,110","1,115","7,985","$4,345,150 ","$24,468,550 ","$62,791,121 ",$0 ,"$24,468,550 "
21-Dec-84,21-Dec-84,1984,1984,The Flamingo Kid,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,531,753,"7,733","$2,015,076 ","$23,859,382 ","$62,841,235 ",$0 ,"$23,859,382 "
