,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
90,Indiana Jones and the Kingdom of the …,2008-05-22,2008,5,402338604,317101119,Adventure,Paramount Pictures,25
91,Gremlins,1984-06-08,1984,6,401730548,148168459,Comedy,Warner Bros.,23
92,Toy Story,1995-11-22,1995,11,400288462,191796233,Adventure,Walt Disney,24
93,An Officer and a Gentleman,1982-07-28,1982,7,398494366,129795554,Drama,Paramount Pictures,23
94,Dances with Wolves,1990-11-09,1990,11,398197626,184208842,Western,Orion Pictures,23
95,Guardians of the Galaxy Vol 2,2017-05-05,2017,5,395897133,389813101,Action,Walt Disney,25
96,Armageddon,1998-07-01,1998,7,391551644,201578182,Adventure,Walt Disney,24
97,Rain Man,1988-12-16,1988,12,391451526,172825435,Comedy,MGM,23
98,Spider-Man: Far From Home,2019-07-02,2019,7,390532085,390532085,Action,Sony Pictures,25
99,The Secret Life of Pets,2016-07-08,2016,7,387974703,368384330,Adventure,Universal,25
100,Beauty and the Beast,1991-11-13,1991,11,387837197,206333165,Musical,Walt Disney,23
101,Rocky III,1982-05-28,1982,5,387482144,125049125,Action,MGM,23
102,Harry Potter and the Order of the Pho…,2007-07-11,2007,7,386651621,292137260,Adventure,Warner Bros.,25
103,Rambo: First Blood Part II,1985-05-22,1985,5,385995656,150415432,Action,Sony/TriStar,23
104,Alice in Wonderland,2010-03-05,2010,3,385865775,334191110,Adventure,Walt Disney,25
105,Batman Forever,1995-06-16,1995,6,385407678,184031112,Action,Warner Bros.,24
106,Inside Out,2015-06-19,2015,6,385215439,356461711,Adventure,Walt Disney,25
107,Pretty Woman,1990-03-23,1990,3,385137694,178406268,Romantic Comedy,Walt Disney,23
108,Cast Away,2000-12-22,2000,12,384884272,233632142,Drama,20th Century Fox,24
109,The Jungle Book,2016-04-15,2016,4,383358402,364001123,Adventure,Walt Disney,25
110,The Incredibles,2004-11-05,2004,11,383083289,261441092,Adventure,Walt Disney,25
111,Deadpool,2016-02-12,2016,2,382378512,363070709,Action,20th Century Fox,25
112,3 Men and a Baby,1987-11-25,1987,11,381836094,167780960,Comedy,Walt Disney,23
113,Furious 7,2015-04-03,2015,4,381482079,353007020,Action,Universal,25
114,Home Alone 2: Lost in New York,1992-11-20,1992,11,381180073,173585516,Adventure,20th Century Fox,23
115,American Sniper,2014-12-25,2014,12,378445725,350126372,Drama,Warner Bros.,25
116,My Big Fat Greek Wedding,2002-04-19,2002,4,377797221,241438208,Romantic Comedy,IFC Films,25
117,The Hunger Games: Mockingjay - Part 1,2014-11-21,2014,11,375464195,337135885,Thriller/Suspense,Lionsgate,25
118,Mission: Impossible,1996-05-21,1996,5,373019226,180981886,Action,Paramount Pictures,24
119,Guardians of the Galaxy,2014-08-01,2014,8,371501227,333172112,Action,Walt Disney,25
120,On Golden Pond,1981-12-04,1981,12,369871147,119285432,Drama,Universal,23
121,Austin Powers: The Spy Who Shagged Me,1999-06-10,1999,6,369493137,206040085,Comedy,New Line,23
122,Harry Potter and the Half-Blood Prince,2009-07-15,2009,7,366779769,302089278,Adventure,Warner Bros.,25
123,Bruce Almighty,2003-05-23,2003,5,366673710,242704995,Comedy,Universal,25
124,Harry Potter and the Prisoner of Azkaban,2004-06-04,2004,6,366070829,249757726,Adventure,Warner Bros.,25
125,Mission: Impossible 2,2000-05-24,2000,5,364078672,215409889,Action,Paramount Pictures,24
126,Rush Hour 2,2001-08-03,2001,8,364020605,226164286,Action,New Line,25
127,Minions,2015-07-10,2015,7,363152668,336045770,Adventure,Universal,25
128,Apollo 13,1995-06-30,1995,6,362988651,173772767,Drama,Universal,24
129,Fatal Attraction,1987-09-18,1987,9,362807481,156645693,Thriller/Suspense,Paramount Pictures,23
130,Iron Man 2,2010-05-07,2010,5,360743683,312433331,Action,Paramount Pictures,25
131,Liar Liar,1997-03-21,1997,3,360054612,181410615,Comedy,Universal,24
132,The Twilight Saga: New Moon,2009-11-20,2009,11,359778351,296623634,Drama,Summit Entertainment,25
133,Zootopia,2016-03-04,2016,3,359416611,341268248,Adventure,Walt Disney,25
134,Robin Hood: Prince of Thieves,1991-06-14,1991,6,358111513,165493908,Adventure,Warner Bros.,23
135,Beverly Hills Cop II,1987-05-20,1987,5,358027737,153665036,Comedy,Paramount Pictures,23
136,Batman Returns,1992-06-18,1992,6,357449252,162833635,Action,Warner Bros.,23
137,Signs,2002-08-02,2002,8,357440160,227969295,Thriller/Suspense,Walt Disney,25
138,Up,2009-05-29,2009,5,355902392,293004164,Adventure,Walt Disney,25
139,Aladdin,2019-05-24,2019,5,355559219,355559216,Adventure,Walt Disney,25
140,Superman II,1981-06-19,1981,6,354522218,108185706,Adventure,Warner Bros.,23
141,The Firm,1993-06-30,1993,6,348426453,158340892,Thriller/Suspense,Paramount Pictures,23
142,Skyfall,2012-11-08,2012,11,348151094,304360277,Action,Sony Pictures,25
143,Batman v Superman: Dawn of Justice,2016-03-25,2016,3,347928482,330360194,Action,Warner Bros.,25
144,The Twilight Saga: Eclipse,2010-06-30,2010,6,347001804,300531751,Drama,Summit Entertainment,25
145,The Hobbit: An Unexpected Journey,2012-12-14,2012,12,345841855,303003568,Adventure,Warner Bros.,25
146,Air Force One,1997-07-25,1997,7,343254979,172956409,Action,Sony Pictures,24
147,Stir Crazy,1980-12-12,1980,12,343064307,101300000,Comedy,Columbia,22
148,There's Something About Mary,1998-07-15,1998,7,342544846,176484651,Romantic Comedy,20th Century Fox,24
149,Suicide Squad,2016-08-05,2016,8,342388609,325100054,Action,Warner Bros.,25
150,Who Framed Roger Rabbit?,1988-06-22,1988,6,341760174,154112492,Adventure,Walt Disney,23
151,Harry Potter and the Deathly Hallows:…,2010-11-19,2010,11,341677546,296131568,Adventure,Warner Bros.,25
152,Night at the Museum,2006-12-22,2006,12,339901743,250863268,Adventure,20th Century Fox,25
153,Cars,2006-06-09,2006,6,339480296,244082982,Adventure,Walt Disney,25
154,Spider-Man: Homecoming,2017-07-07,2017,7,339417210,334201140,Action,Sony Pictures,25
155,Porky's,1982-03-19,1982,3,339277727,109492484,Comedy,20th Century Fox,23
156,Nine to Five,1980-12-19,1980,12,339231493,103290500,Comedy,20th Century Fox,22
157,Inception,2010-07-16,2010,7,337816073,292576195,Thriller/Suspense,Warner Bros.,25
158,The Hangover,2009-06-05,2009,6,336854403,277322503,Comedy,Warner Bros.,25
159,I am Legend,2007-12-14,2007,12,336716286,256393010,Horror,Warner Bros.,25
160,Lethal Weapon 2,1989-07-07,1989,7,336211474,147253986,Action,Warner Bros.,23
161,Joker,2019-10-04,2019,10,335451311,335451311,Thriller/Suspense,Warner Bros.,25
