,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
305,322,The Simpsons Movie,The Simpsons Movie,2007-07-27,2007,7,242494180,183135014,Adventure,20th Century Fox,25,Nominated for 1 Golden Globe. Another 5 wins & 33 nominations.,80.0,7.3,88%,PG-13,David Silverman,87 min,USA,
306,324,The Little Mermaid,The Little Mermaid,1989-11-15,1989,11,241772713,111543479,Adventure,Walt Disney,23,Won 2 Oscars. Another 10 wins & 8 nominations.,88.0,7.6,93%,G,"Ron Clements, John Musker",83 min,USA,
307,325,Fast Five,Fast Five,2011-04-29,2011,4,241284408,210031325,Action,Universal,25,9 wins & 21 nominations.,66.0,7.3,77%,PG-13,Justin Lin,130 min,"USA, Brazil, Japan",
308,326,Monsters vs. Aliens,Monsters vs. Aliens,2009-03-27,2009,3,240930986,198351526,Adventure,Paramount Pictures,25,3 wins & 9 nominations.,56.0,6.4,73%,PG,"Rob Letterman, Conrad Vernon",94 min,USA,
309,327,Scooby-Doo,Scooby-Doo,2002-06-14,2002,6,240363132,153294164,Adventure,Warner Bros.,25,5 wins & 14 nominations.,35.0,5.1,30%,PG,Raja Gosnell,86 min,"USA, Australia",
310,328,Mission: Impossible—Ghost Protocol,Mission Impossible—Ghost Protocol,2011-12-16,2011,12,240261401,209397903,Action,Paramount Pictures,25,5 wins & 30 nominations.,73.0,7.4,94%,PG-13,Brad Bird,132 min,"USA, United Arab Emirates, Czech Republic, India, Canada",
311,329,Any Which Way You Can,Any Which Way You Can,1980-12-17,1980,12,239390968,70687344,Comedy,Warner Bros.,22,1 win & 2 nominations.,51.0,6.2,20%,PG,Buddy Van Horn,116 min,USA,
312,330,The Green Mile,The Green Mile,1999-12-10,1999,12,239126149,136801374,Drama,Warner Bros.,23,Nominated for 4 Oscars. Another 15 wins & 33 nominations.,61.0,8.6,78%,R,Frank Darabont,189 min,USA,
313,331,Ice Age: Dawn of the Dinosaurs,Ice Age Dawn of the Dinosaurs,2009-07-01,2009,7,238771524,196573705,Adventure,20th Century Fox,25,3 wins & 13 nominations.,50.0,6.9,46%,PG,"Carlos Saldanha, Mike Thurmeier(co-director)",94 min,USA,
314,332,Shark Tale,Shark Tale,2004-10-01,2004,10,236759826,161412000,Adventure,Dreamworks SKG,25,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,48.0,6.0,36%,PG,"Bibo Bergeron, Vicky Jenson, Rob Letterman",90 min,USA,
315,333,Private Benjamin,Private Benjamin,1980-10-10,1980,10,236546215,69847348,Comedy,Warner Bros.,22,Nominated for 3 Oscars. Another 1 win & 3 nominations.,59.0,6.2,82%,R,Howard Zieff,109 min,USA,
316,334,A League of Their Own,A League of Their Own,1992-07-01,1992,7,236056398,107533925,Comedy,Sony Pictures,23,Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,67.0,7.3,78%,PG,Penny Marshall,128 min,USA,
317,335,Pulp Fiction,Pulp Fiction,1994-10-14,1994,10,234852794,107928762,Drama,Miramax,23,Won 1 Oscar. Another 69 wins & 74 nominations.,94.0,8.9,91%,R,Quentin Tarantino,154 min,USA,
318,336,Indecent Proposal,Indecent Proposal,1993-04-07,1993,4,234602433,106614059,Drama,Paramount Pictures,23,7 wins & 8 nominations.,35.0,6.0,35%,R,Adrian Lyne,117 min,USA,
319,338,Mulan,Mulan,1998-06-19,1998,6,234296482,120620254,Adventure,Walt Disney,24,Nominated for 1 Oscar. Another 17 wins & 20 nominations.,71.0,7.6,86%,G,"Tony Bancroft, Barry Cook",88 min,USA,
320,339,American Pie 2,American Pie 2,2001-08-10,2001,8,233539223,145096820,Comedy,Universal,25,8 wins & 6 nominations.,43.0,6.4,52%,R,J.B. Rogers,108 min,USA,
321,340,Dinosaur,Dinosaur,2000-05-19,2000,5,232817219,137748063,Adventure,Walt Disney,24,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,66.0,6.7,76%,PG,Peter Sohn,93 min,USA,
322,341,The Fast and the Furious,The Fast and the Furious,2001-06-22,2001,6,232598433,144512310,Action,Universal,25,11 wins & 12 nominations.,58.0,6.8,53%,PG-13,Rob Cohen,106 min,"USA, Germany",
323,342,Justice League,Justice League,2017-11-17,2017,11,232544520,229024295,Action,Warner Bros.,25,2 wins & 13 nominations.,45.0,6.4,40%,PG-13,Zack Snyder,120 min,"USA, Canada, UK",
324,343,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014-07-11,2014,7,232539810,208545589,Adventure,20th Century Fox,25,Nominated for 1 Oscar. Another 17 wins & 47 nominations.,79.0,7.6,90%,PG-13,Matt Reeves,130 min,"USA, UK, Canada",
325,344,Casino Royale,Casino Royale,2006-11-17,2006,11,231864714,167365000,Action,Sony Pictures,25,Won 1 BAFTA Film Award. Another 26 wins & 44 nominations.,80.0,8.0,95%,PG-13,Martin Campbell,144 min,"UK, Czech Republic, USA, Germany, Bahamas",
326,345,Tangled,Tangled,2010-11-24,2010,11,231682049,200821936,Musical,Walt Disney,25,Nominated for 1 Oscar. Another 10 wins & 40 nominations.,71.0,7.7,89%,PG,"Nathan Greno, Byron Howard",100 min,USA,
327,346,Poltergeist,Poltergeist,1982-06-04,1982,6,231487013,74706019,Horror,MGM,23,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,79.0,7.3,85%,PG,Tobe Hooper,114 min,USA,
328,347,The Color Purple,The Color Purple,1985-12-18,1985,12,231352149,93589701,Drama,Warner Bros.,23,Nominated for 11 Oscars. Another 14 wins & 12 nominations.,78.0,7.8,81%,PG-13,Steven Spielberg,154 min,USA,
329,348,Thor: The Dark World,Thor The Dark World,2013-11-08,2013,11,231221293,206362140,Action,Walt Disney,25,3 wins & 21 nominations.,54.0,6.9,66%,PG-13,Alan Taylor,112 min,USA,
330,349,Driving Miss Daisy,Driving Miss Daisy,1989-12-13,1989,12,230680805,106593296,Drama,Warner Bros.,23,Won 4 Oscars. Another 17 wins & 24 nominations.,81.0,7.4,81%,PG,Bruce Beresford,99 min,USA,
331,350,Logan,Logan,2017-03-03,2017,3,229808705,226277068,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 26 wins & 73 nominations.,77.0,8.1,93%,R,James Mangold,137 min,USA,
332,351,The Fate of the Furious,The Fate of the Furious,2017-04-14,2017,4,229288406,225764765,Action,Universal,25,1 win & 11 nominations.,56.0,6.7,67%,PG-13,F. Gary Gray,136 min,"China, USA, Japan",
333,352,Lilo & Stitch,Lilo & Stitch,2002-06-21,2002,6,228567741,145771527,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 10 wins & 26 nominations.,73.0,7.2,86%,PG,"Dean DeBlois, Chris Sanders",85 min,USA,
334,353,Madagascar: Escape 2 Africa,Madagascar Escape 2 Africa,2008-11-07,2008,11,228435327,180174880,Adventure,Paramount Pictures,25,4 wins & 11 nominations.,61.0,6.6,64%,PG,"Eric Darnell, Tom McGrath",89 min,USA,
335,354,Parenthood,Parenthood,1989-08-02,1989,8,228430007,100047830,Comedy,Universal,23,Nominated for 2 Oscars. Another 4 wins & 12 nominations.,82.0,7.0,91%,PG-13,Ron Howard,124 min,USA,
336,355,Coal Miner's Daughter,Coal Miner's Daughter,1980-03-07,1980,3,227522368,67182787,Drama,Universal,22,Won 1 Oscar. Another 9 wins & 13 nominations.,87.0,7.5,86%,PG,Michael Apted,124 min,USA,
337,356,Terminator 3: Rise of the Machines,Terminator 3 Rise of the Machines,2003-07-01,2003,7,227158214,150358296,Action,Warner Bros.,25,3 wins & 24 nominations.,66.0,6.3,69%,R,Jonathan Mostow,109 min,"USA, Germany, UK",
