,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
750,782,The Fox and the Hound,The Fox and the Hound,1981-07-10,1981,7,143856830,43899231,Adventure,Walt Disney,23,1 win & 2 nominations.,65.0,7.3,70%,G,"Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman",83 min,USA,
751,783,The Godfather: Part III,The Godfather Part III,1990-12-25,1990,12,143714058,66520529,Drama,Paramount Pictures,23,Nominated for 7 Oscars. Another 6 wins & 16 nominations.,60.0,7.6,69%,R,Francis Ford Coppola,162 min,USA,
752,784,I Know What You Did Last Summer,I Know What You Did Last Summer,1997-10-17,1997,10,143321171,72250091,Horror,Sony Pictures,24,3 wins & 7 nominations.,52.0,5.7,42%,R,Jim Gillespie,101 min,USA,
753,786,The Vow,The Vow,2012-02-10,2012,2,143075101,125014030,Drama,Sony Pictures,25,3 wins & 14 nominations.,43.0,6.8,31%,PG-13,Michael Sucsy,104 min,"USA, Canada",
754,787,Million Dollar Baby,Million Dollar Baby,2004-12-15,2004,12,142872176,100492203,Drama,Warner Bros.,25,Won 4 Oscars. Another 64 wins & 84 nominations.,86.0,8.1,91%,PG-13,Clint Eastwood,132 min,USA,
755,788,Anchorman 2: The Legend Continues,Anchorman 2 The Legend Continues,2013-12-18,2013,12,142669451,127413176,Comedy,Paramount Pictures,25,1 win & 23 nominations.,61.0,6.3,74%,PG-13,Adam McKay,119 min,USA,
756,789,The Toy,The Toy,1982-12-10,1982,12,142569414,47118057,Comedy,Sony Pictures,23,1 win.,16.0,5.9,9%,PG,Richard Donner,102 min,USA,
757,790,Once Upon a Time…in Hollywood,Once Upon a Time…in Hollywood,2019-07-26,2019,7,142502728,142502728,Thriller/Suspense,Sony Pictures,25,Won 2 Oscars. Another 126 wins & 344 nominations.,83.0,7.7,85%,R,Quentin Tarantino,161 min,"USA, UK, China",
758,791,Life of Pi,Life of Pi,2012-11-21,2012,11,142231779,124987022,Drama,20th Century Fox,25,Won 4 Oscars. Another 78 wins & 132 nominations.,79.0,7.9,87%,PG,Ang Lee,127 min,"USA, Taiwan, UK, Canada",
759,792,Cold Mountain,Cold Mountain,2003-12-25,2003,12,142207237,95632614,Drama,Miramax,25,Won 1 Oscar. Another 19 wins & 101 nominations.,73.0,7.2,70%,R,Anthony Minghella,154 min,"USA, Italy, Romania",
760,793,Outbreak,Outbreak,1995-03-10,1995,3,142039704,67823573,Thriller/Suspense,Warner Bros.,24,5 wins & 5 nominations.,64.0,6.6,60%,R,Wolfgang Petersen,127 min,USA,
761,794,The Scorpion King,The Scorpion King,2002-04-19,2002,4,142028189,90580000,Action,Universal,25,2 wins & 3 nominations.,45.0,5.5,40%,PG-13,Chuck Russell,92 min,"USA, Germany, Belgium",
762,795,Police Academy 2: Their First Assignment,Police Academy 2 Their First Assignment,1985-03-29,1985,3,142005760,55337042,Comedy,Warner Bros.,23,1 win.,39.0,5.8,33%,PG-13,"Jerry Paris, James Signorelli",87 min,USA,
763,796,Firefox,Firefox,1982-06-18,1982,6,141873437,45785720,Action,Warner Bros.,23,,44.0,6.0,38%,PG,Clint Eastwood,136 min,USA,
764,797,Rango,Rango,2011-03-04,2011,3,141851327,123477607,Adventure,Paramount Pictures,25,Won 1 Oscar. Another 45 wins & 25 nominations.,75.0,7.2,88%,PG,Gore Verbinski,107 min,USA,
765,798,The Talented Mr. Ripley,The Talented Mr. Ripley,1999-12-24,1999,12,141499326,81292135,Drama,Paramount Pictures,23,Nominated for 5 Oscars. Another 10 wins & 76 nominations.,76.0,7.4,83%,R,Anthony Minghella,139 min,USA,
766,799,Into the Woods,Into the Woods,2014-12-25,2014,12,141452728,128002372,Musical,Walt Disney,25,Nominated for 3 Oscars. Another 11 wins & 71 nominations.,69.0,5.9,71%,PG,Rob Marshall,125 min,USA,
767,800,The Nightmare Before Christmas,The Nightmare Before Christmas,1993-10-13,1993,10,141447745,75069160,Musical,Walt Disney,23,Nominated for 1 Oscar. Another 7 wins & 16 nominations.,82.0,8.0,95%,PG,Henry Selick,76 min,USA,
768,801,Master and Commander: The Far Side of…,Master and Commander The Far Side of…,2003-11-14,2003,11,141423840,93926386,Adventure,20th Century Fox,25,Won 2 Oscars. Another 21 wins & 90 nominations.,81.0,7.4,85%,PG-13,Peter Weir,138 min,USA,
769,803,Lucy,Lucy,2014-07-25,2014,7,141136930,126573960,Action,Universal,25,1 win & 12 nominations.,61.0,6.4,67%,R,Luc Besson,89 min,"France, Germany, Taiwan, Canada, USA",
770,804,A Fish Called Wanda,A Fish Called Wanda,1988-07-15,1988,7,140735088,63493000,Comedy,MGM,23,Won 1 Oscar. Another 8 wins & 18 nominations.,80.0,7.5,94%,R,"Charles Crichton, John Cleese",108 min,"UK, USA",
771,806,Antarctica,Antarctica,1991-10-18,1991,10,140653198,65000000,Documentary,,23,17 wins & 3 nominations.,69.0,7.6,87%,PG,Anthony Powell,91 min,New Zealand,
772,807,The Peanuts Movie,The Peanuts Movie,2015-11-06,2015,11,140625759,130178411,Adventure,20th Century Fox,25,Nominated for 1 Golden Globe. Another 2 wins & 47 nominations.,67.0,7.1,87%,G,Steve Martino,88 min,USA,
773,808,Scent of a Woman,Scent of a Woman,1992-12-23,1992,12,140561971,63895607,Drama,Universal,23,Won 1 Oscar. Another 5 wins & 14 nominations.,59.0,8.0,88%,R,Martin Brest,156 min,USA,
774,809,District 9,District 9,2009-08-14,2009,8,140471627,115646235,Thriller/Suspense,Sony Pictures,25,Nominated for 4 Oscars. Another 31 wins & 111 nominations.,81.0,7.9,90%,R,Neill Blomkamp,112 min,"South Africa, USA, New Zealand, Canada",
775,810,Shazam!,Shazam!,2019-04-05,2019,4,140371656,140371656,Action,Warner Bros.,25,21 nominations.,71.0,7.1,90%,PG-13,David F. Sandberg,132 min,"USA, Canada",
776,811,Split,Split,2017-01-20,2017,1,140297635,138141585,Horror,Universal,25,9 wins & 21 nominations.,62.0,7.3,77%,PG-13,M. Night Shyamalan,117 min,"USA, Japan",
777,812,Tropic Thunder,Tropic Thunder,2008-08-13,2008,8,140222077,110515313,Comedy,Paramount Pictures,25,Nominated for 1 Oscar. Another 10 wins & 46 nominations.,71.0,7.0,82%,R,Ben Stiller,107 min,"USA, UK, Germany",
778,813,Ocean’s 8,Ocean’s 8,2018-06-08,2018,6,140218715,140218711,Action,Warner Bros.,25,3 wins & 14 nominations.,61.0,6.2,69%,PG-13,Gary Ross,110 min,USA,
779,814,Heat,Heat,1995-12-15,1995,12,140203929,67436818,Drama,Warner Bros.,24,14 nominations.,76.0,8.2,87%,R,Michael Mann,170 min,USA,
780,815,Tango & Cash,Tango & Cash,1989-12-22,1989,12,139802443,63408614,Action,Warner Bros.,23,3 nominations.,41.0,6.4,30%,R,"Andrey Konchalovskiy, Albert Magnoli",104 min,USA,
781,816,The Princess Diaries 2: Royal Engagement,The Princess Diaries 2 Royal Engagement,2004-08-11,2004,8,139583147,95149435,Romantic Comedy,Walt Disney,25,1 win & 2 nominations.,43.0,5.8,26%,G,Garry Marshall,113 min,USA,
782,817,Lone Survivor,Lone Survivor,2013-12-25,2013,12,139490270,125095601,Action,Universal,25,Nominated for 2 Oscars. Another 6 wins & 14 nominations.,60.0,7.5,75%,R,Peter Berg,121 min,"USA, UK",
783,818,Dreamgirls,Dreamgirls,2006-12-15,2006,12,139342369,103365956,Musical,Paramount Pictures,25,Won 2 Oscars. Another 66 wins & 92 nominations.,76.0,6.5,78%,PG-13,Bill Condon,130 min,USA,
784,819,Legends of the Fall,Legends of the Fall,1994-12-23,1994,12,139340010,66502573,Drama,Sony Pictures,23,Won 1 Oscar. Another 2 wins & 12 nominations.,45.0,7.6,45/100,R,Edward Zwick,133 min,USA,
785,820,The Fault in Our Stars,The Fault in Our Stars,2014-06-06,2014,6,139239545,124872350,Drama,20th Century Fox,25,21 wins & 14 nominations.,69.0,7.7,81%,PG-13,Josh Boone,126 min,USA,
786,821,The Four Seasons,The Four Seasons,1981-05-22,1981,5,139232785,42488161,Comedy,Universal,23,Nominated for 4 Golden Globes. Another 1 win & 1 nomination.,55.0,6.9,77%,PG,Alan Alda,107 min,USA,
787,822,Dave,Dave,1993-05-07,1993,5,139226126,63270710,Comedy,Warner Bros.,23,4 nominations.,51.0,6.0,38%,R,Jake Szymanski,98 min,USA,
788,823,Waiting to Exhale,Waiting to Exhale,1995-12-22,1995,12,139180275,66947948,Drama,20th Century Fox,24,9 wins & 10 nominations.,,5.9,56%,R,Forest Whitaker,124 min,USA,
789,824,Predator,Predator,1987-06-12,1987,6,139179237,59735548,Action,20th Century Fox,23,Nominated for 1 Oscar. Another 3 wins & 5 nominations.,45.0,7.8,81%,R,John McTiernan,107 min,"USA, Mexico",
790,825,Rising Sun,Rising Sun,1993-07-30,1993,7,138840071,63095271,Drama,20th Century Fox,23,1 win & 1 nomination.,56.0,6.3,33%,R,Philip Kaufman,129 min,USA,
791,826,Kingsman: The Secret Service,Kingsman The Secret Service,2015-02-13,2015,2,138607867,128261724,Action,20th Century Fox,25,8 wins & 27 nominations.,60.0,7.7,75%,R,Matthew Vaughn,129 min,"UK, USA",
792,827,Bedtime Stories,Bedtime Stories,2008-12-25,2008,12,138367909,110101975,Adventure,Walt Disney,25,3 wins & 5 nominations.,33.0,6.0,26%,PG,Adam Shankman,99 min,USA,
793,828,Harlem Nights,Harlem Nights,1989-11-17,1989,11,138313358,60857262,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,16.0,6.1,21%,R,Eddie Murphy,116 min,USA,
794,829,What About Bob?,What About Bob?,1991-05-17,1991,5,137861776,63710000,Comedy,Walt Disney,23,2 wins & 2 nominations.,60.0,7.0,84%,PG,Frank Oz,99 min,USA,
795,830,Ready Player One,Ready Player One,2018-03-29,2018,3,137690172,137690172,Adventure,Warner Bros.,25,Nominated for 1 Oscar. Another 11 wins & 52 nominations.,64.0,7.5,72%,PG-13,Steven Spielberg,140 min,"USA, India",
796,831,The Other Guys,The Other Guys,2010-08-06,2010,8,137654496,119219978,Comedy,Sony Pictures,25,3 wins & 15 nominations.,64.0,6.6,78%,PG-13,Adam McKay,107 min,USA,
797,832,The Crying Game,The Crying Game,1992-11-25,1992,11,137604291,62546695,Drama,Miramax,23,Won 1 Oscar. Another 21 wins & 46 nominations.,90.0,7.2,94%,R,Neil Jordan,112 min,"UK, Japan",
798,833,Bad Boys,Bad Boys,1995-04-07,1995,4,137482280,65647413,Action,Sony Pictures,24,1 win & 3 nominations.,41.0,6.9,43%,R,Michael Bay,119 min,USA,
799,834,G.I. Joe: Retaliation,G.I. Joe Retaliation,2013-03-27,2013,3,137292137,122523060,Action,Paramount Pictures,25,1 win & 11 nominations.,41.0,5.8,29%,PG-13,Jon M. Chu,110 min,USA,
800,836,Salt,Salt,2010-07-23,2010,7,136605397,118311368,Thriller/Suspense,Sony Pictures,25,Nominated for 1 Oscar. Another 4 wins & 15 nominations.,65.0,6.4,62%,PG-13,Phillip Noyce,100 min,USA,
801,837,Amadeus,Amadeus,1984-09-19,1984,9,136261559,51973029,Drama,Warner Bros.,23,Won 8 Oscars. Another 34 wins & 14 nominations.,88.0,8.3,93%,R,Milos Forman,160 min,"USA, France, Czechoslovakia, Italy",
802,838,Blade,Blade,1998-08-21,1998,8,136245726,70141876,Action,New Line,24,Nominated for 2 Oscars. Another 12 wins & 16 nominations.,84.0,8.1,90%,R,Ridley Scott,117 min,USA,
803,840,Jackass 3D,Jackass 3D,2010-10-15,2010,10,135355761,117229692,Comedy,Paramount Pictures,25,1 win & 4 nominations.,56.0,7.0,65%,R,Jeff Tremaine,94 min,USA,
804,841,Atlantis: The Lost Empire,Atlantis The Lost Empire,2001-06-08,2001,6,135286333,84052762,Adventure,Walt Disney,25,2 wins & 14 nominations.,52.0,6.9,49%,PG,"Gary Trousdale, Kirk Wise",95 min,USA,
805,842,Ghostbusters,Ghostbusters,2016-07-15,2016,7,135176148,128350574,Comedy,Sony Pictures,25,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,71.0,7.8,97%,PG,Ivan Reitman,105 min,USA,
806,843,Horrible Bosses,Horrible Bosses,2011-07-08,2011,7,135028529,117538559,Comedy,Warner Bros.,25,3 wins & 13 nominations.,57.0,6.9,69%,R,Seth Gordon,98 min,USA,
807,844,Caddyshack,Caddyshack,1980-07-25,1980,7,134944307,39846344,Comedy,Warner Bros.,22,1 nomination.,48.0,7.3,74%,R,Harold Ramis,98 min,USA,
808,845,Friday the 13th,Friday the 13th,1980-05-09,1980,5,134633611,39754601,Horror,Paramount Pictures,22,5 nominations.,22.0,6.5,64%,R,Sean S. Cunningham,95 min,USA,
809,846,Star Trek: Insurrection,Star Trek Insurrection,1998-12-11,1998,12,134614744,70187658,Adventure,Paramount Pictures,24,3 wins & 8 nominations.,64.0,6.4,54%,PG,Jonathan Frakes,103 min,USA,
810,847,Mystic River,Mystic River,2003-10-08,2003,10,134605151,90135191,Drama,Warner Bros.,25,Won 2 Oscars. Another 55 wins & 142 nominations.,84.0,7.9,88%,R,Clint Eastwood,138 min,"USA, Australia",
811,849,Wonder,Wonder,2017-11-17,2017,11,134320054,132422809,Drama,Lionsgate,25,24 wins & 70 nominations.,76.0,7.4,93%,PG-13,Patty Jenkins,141 min,"USA, China, Hong Kong",
812,850,Lost In Space,Lost In Space,1998-04-03,1998,4,134256202,69117629,Adventure,New Line,24,3 wins & 17 nominations.,42.0,5.2,28%,PG-13,Stephen Hopkins,130 min,USA,
813,851,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013-09-27,2013,9,134221657,119793567,Adventure,Sony Pictures,25,16 nominations.,59.0,6.4,71%,PG,"Cody Cameron, Kris Pearn",95 min,USA,
814,852,Central Intelligence,Central Intelligence,2016-06-17,2016,6,134218076,127440871,Comedy,Warner Bros.,25,2 wins & 8 nominations.,52.0,6.3,71%,PG-13,Rawson Marshall Thurber,107 min,"USA, China",
815,853,Green Lantern,Green Lantern,2011-06-17,2011,6,133951664,116601172,Action,Warner Bros.,25,3 wins & 6 nominations.,39.0,5.5,26%,PG-13,Martin Campbell,114 min,USA,
816,854,Sea of Love,Sea of Love,1989-09-15,1989,9,133730946,58571513,Thriller/Suspense,Universal,23,Nominated for 1 Golden Globe. Another 3 nominations.,66.0,6.8,76%,R,Harold Becker,113 min,"USA, Canada",
817,855,It’s Complicated,It’s Complicated,2009-12-25,2009,12,133720342,112735375,Romantic Comedy,Universal,25,Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,57.0,6.5,58%,R,Nancy Meyers,120 min,"USA, Japan",
818,856,Dragnet,Dragnet,1987-06-26,1987,6,133707306,57387000,Comedy,Universal,23,,62.0,6.0,51%,PG-13,Tom Mankiewicz,106 min,USA,
819,857,The Legend of Tarzan,The Legend of Tarzan,2016-07-01,2016,7,133377834,126643061,Adventure,Warner Bros.,25,2 wins & 4 nominations.,44.0,6.2,36%,PG-13,David Yates,110 min,"UK, Canada, USA",
820,858,Dante's Peak,Dante's Peak,1997-02-07,1997,2,133303423,67163857,Drama,Universal,24,4 wins & 1 nomination.,43.0,5.9,26%,PG-13,Roger Donaldson,108 min,USA,
821,859,Babe,Babe,1995-08-04,1995,8,133090532,63658910,Adventure,Universal,24,Won 1 Oscar. Another 19 wins & 26 nominations.,83.0,6.7,97%,G,Chris Noonan,91 min,"Australia, USA",
822,860,Evan Almighty,Evan Almighty,2007-06-22,2007,6,132796370,100289690,Comedy,Universal,25,2 wins & 11 nominations.,37.0,5.4,23%,PG,Tom Shadyac,96 min,USA,
823,861,The Good Dinosaur,The Good Dinosaur,2015-11-25,2015,11,132787169,123087120,Adventure,Walt Disney,25,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,66.0,6.7,76%,PG,Peter Sohn,93 min,USA,
824,862,Couples Retreat,Couples Retreat,2009-10-09,2009,10,132606809,109205660,Comedy,Universal,25,1 win & 4 nominations.,23.0,5.5,10%,PG-13,Peter Billingsley,113 min,USA,
825,863,Space Station,Space Station,2002-04-19,2002,4,132544542,93231060,Documentary,IMAX Films,25,2 nominations.,49.0,4.9,68%,R,Jack Plotnick,93 min,USA,
826,864,Any Given Sunday,Any Given Sunday,1999-12-22,1999,12,132378585,75530832,Drama,Warner Bros.,23,3 wins & 9 nominations.,52.0,6.9,52%,R,Oliver Stone,162 min,USA,
827,865,Flatliners,Flatliners,1990-08-10,1990,8,132350062,61308153,Thriller/Suspense,Sony Pictures,23,Nominated for 1 Oscar. Another 2 nominations.,55.0,6.6,48%,R,Joel Schumacher,115 min,USA,
828,866,Transformers: The Last Knight,Transformers The Last Knight,2017-06-21,2017,6,132200293,130168683,Action,Paramount Pictures,25,2 wins & 19 nominations.,27.0,5.2,15%,PG-13,Michael Bay,154 min,"USA, China, Canada",
829,867,Misery,Misery,1990-11-30,1990,11,132109758,61158960,Thriller/Suspense,Sony Pictures,23,Won 1 Oscar. Another 4 wins & 10 nominations.,75.0,7.8,90%,R,Rob Reiner,107 min,USA,
830,868,Scrooged,Scrooged,1988-11-23,1988,11,132076607,59450353,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 1 win & 4 nominations.,38.0,7.0,71%,PG-13,Richard Donner,101 min,USA,
831,869,Deep Blue Sea,Deep Blue Sea,1999-07-28,1999,7,132073883,73648228,Action,Warner Bros.,23,2 wins & 4 nominations.,54.0,5.9,60%,R,Renny Harlin,105 min,"USA, Mexico",
832,870,Now You See Me,Now You See Me,2013-05-31,2013,5,131914576,117723989,Thriller/Suspense,Lionsgate,25,1 win & 3 nominations.,50.0,7.3,50%,PG-13,Louis Leterrier,115 min,"USA, France",
833,871,Sully,Sully,2016-09-09,2016,9,131717636,125070033,Drama,Warner Bros.,25,Nominated for 1 Oscar. Another 14 wins & 34 nominations.,74.0,7.4,85%,PG-13,Clint Eastwood,96 min,USA,
834,872,A Perfect Murder,A Perfect Murder,1998-06-05,1998,6,131421616,67658331,Thriller/Suspense,Warner Bros.,24,2 wins & 3 nominations.,50.0,6.5,56%,R,Andrew Davis,107 min,USA,
835,873,Pet Sematary,Pet Sematary,1989-04-21,1989,4,131214090,57469179,Horror,Paramount Pictures,23,1 win & 5 nominations.,38.0,6.6,51%,R,Mary Lambert,103 min,USA,
836,874,Paranormal Activity,Paranormal Activity,2009-09-25,2009,9,131081531,107918810,Horror,Paramount Pictures,25,3 wins & 12 nominations.,68.0,6.3,83%,R,Oren Peli,86 min,USA,
837,875,The Wolf of Wall Street,The Wolf of Wall Street,2013-12-25,2013,12,130751357,116949183,Black Comedy,Paramount Pictures,25,Nominated for 5 Oscars. Another 38 wins & 172 nominations.,75.0,8.2,79%,R,Martin Scorsese,180 min,USA,
838,876,Lee Daniels' The Butler,Lee Daniels' The Butler,2013-08-16,2013,8,130689199,116632095,Drama,Weinstein Co.,25,Nominated for 2 BAFTA Film Awards. Another 17 wins & 51 nominations.,65.0,7.2,71%,PG-13,Lee Daniels,132 min,USA,
839,877,Watchmen,Watchmen,2009-03-06,2009,3,130588570,107509799,Action,Warner Bros.,25,11 wins & 22 nominations.,56.0,7.6,65%,R,Zack Snyder,162 min,USA,
840,878,Tightrope,Tightrope,1984-08-17,1984,8,130413986,48100000,Thriller/Suspense,Warner Bros.,23,1 nomination.,61.0,6.3,85%,R,Richard Tuggle,114 min,USA,
841,879,U-571,U-571,2000-04-21,2000,4,130288259,77086030,Action,Universal,24,Won 1 Oscar. Another 3 wins & 10 nominations.,62.0,6.6,68%,PG-13,Jonathan Mostow,116 min,"France, USA",
842,880,Anaconda,Anaconda,1997-04-11,1997,4,130197387,65598907,Horror,Sony Pictures,24,6 wins & 11 nominations.,37.0,4.8,39%,PG-13,Luis Llosa,89 min,USA,
843,881,Magic Mike,Magic Mike,2012-06-29,2012,6,130151190,113721571,Comedy,Warner Bros.,25,9 wins & 14 nominations.,72.0,6.1,79%,R,Steven Soderbergh,110 min,USA,
844,882,Beaches,Beaches,1988-12-21,1988,12,130092267,57041866,Drama,Walt Disney,23,Nominated for 1 Oscar. Another 1 win & 5 nominations.,46.0,7.0,39%,PG-13,Garry Marshall,123 min,USA,
845,883,The Mummy: Tomb of the Dragon Emperor,The Mummy Tomb of the Dragon Emperor,2008-08-01,2008,8,130041797,102491776,Adventure,Universal,25,2 wins & 6 nominations.,31.0,5.2,13%,PG-13,Rob Cohen,112 min,"USA, Germany, China, Canada",
846,884,The Natural,The Natural,1984-05-11,1984,5,130012654,47951979,Drama,Sony/TriStar,23,Nominated for 4 Oscars. Another 3 wins & 4 nominations.,61.0,7.5,81%,PG,Barry Levinson,138 min,USA,
847,885,The Bourne Legacy,The Bourne Legacy,2012-08-10,2012,8,129558694,113203870,Thriller/Suspense,Universal,25,1 win & 11 nominations.,61.0,6.7,55%,PG-13,Tony Gilroy,135 min,"USA, Japan",
848,886,Meet the Robinsons,Meet the Robinsons,2007-03-30,2007,3,129529059,97822171,Adventure,Walt Disney,25,1 win & 10 nominations.,61.0,6.8,67%,G,Stephen J. Anderson,95 min,USA,
849,887,Jimmy Neutron: Boy Genius,Jimmy Neutron Boy Genius,2001-12-21,2001,12,129497356,80936232,Adventure,Paramount Pictures,25,Nominated for 1 Oscar. Another 5 nominations.,65.0,6.0,74%,G,John A. Davis,82 min,USA,
850,888,Beavis and Butt-Head Do America,Beavis and Butt-Head Do America,1996-12-20,1996,12,129411376,63118386,Adventure,Paramount Pictures,24,1 win & 4 nominations.,64.0,6.8,72%,PG-13,"Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan",81 min,USA,
851,889,Starsky & Hutch,Starsky & Hutch,2004-03-05,2004,3,129388729,88200225,Comedy,Warner Bros.,25,3 wins & 10 nominations.,55.0,6.1,62%,PG-13,Todd Phillips,101 min,USA,
852,890,Far and Away,Far and Away,1992-05-22,1992,5,129260669,58883840,Drama,Universal,23,3 nominations.,49.0,6.6,47%,PG-13,Ron Howard,140 min,USA,
853,891,Along Came Polly,Along Came Polly,2004-01-16,2004,1,129202839,88073507,Romantic Comedy,Universal,25,1 win & 9 nominations.,44.0,6.0,26%,PG-13,John Hamburg,90 min,USA,
854,892,A View to a Kill,A View to a Kill,1985-05-24,1985,5,129151468,50327960,Action,MGM,23,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,40.0,6.4,37%,PG,John Glen,131 min,UK,
855,893,Journey to the Center of the Earth,Journey to the Center of the Earth,2008-07-11,2008,7,129042731,101704370,Adventure,Warner Bros.,25,3 wins & 3 nominations.,57.0,5.8,61%,PG,Eric Brevig,93 min,USA,
856,894,The Last Boy Scout,The Last Boy Scout,1991-12-13,1991,12,128957589,59509925,Action,Warner Bros.,23,2 nominations.,52.0,7.0,46%,R,Tony Scott,105 min,USA,
857,895,Rugrats in Paris,Rugrats in Paris,2000-11-17,2000,11,128873212,76501438,Adventure,Paramount Pictures,24,3 wins & 7 nominations.,62.0,6.1,76%,G,"Stig Bergqvist, Paul Demeyer",78 min,"Germany, USA",
858,896,Brother Bear,Brother Bear,2003-10-24,2003,10,128834996,85336277,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 2 wins & 21 nominations.,48.0,6.8,37%,G,"Aaron Blaise, Robert Walker",85 min,USA,
859,897,The Parent Trap,The Parent Trap,1998-07-29,1998,7,128799694,66308518,Adventure,Walt Disney,24,2 wins & 7 nominations.,64.0,6.5,86%,PG,Nancy Meyers,128 min,"USA, UK",
860,898,Honey I Blew Up the Kid,Honey I Blew Up the Kid,1992-07-17,1992,7,128774678,58662452,Adventure,Walt Disney,23,10 nominations.,50.0,4.8,40%,PG,Randal Kleiser,89 min,USA,
861,899,Eagle Eye,Eagle Eye,2008-09-26,2008,9,128706126,101440743,Thriller/Suspense,Paramount Pictures,25,3 wins & 8 nominations.,43.0,6.6,26%,PG-13,D.J. Caruso,118 min,"USA, Germany",
862,900,HouseSitter,HouseSitter,1992-06-12,1992,6,128419461,58500635,Comedy,Universal,23,,,6.1,37%,PG,Frank Oz,102 min,USA,
863,901,Death Becomes Her,Death Becomes Her,1992-07-31,1992,7,128248266,58422650,Comedy,Universal,23,Won 1 Oscar. Another 4 wins & 16 nominations.,56.0,6.6,56/100,PG-13,Robert Zemeckis,104 min,USA,
864,903,Demolition Man,Demolition Man,1993-10-08,1993,10,127982136,58055768,Action,Warner Bros.,23,1 win & 7 nominations.,34.0,6.7,60%,R,Marco Brambilla,115 min,USA,
865,904,The Specialist,The Specialist,1994-10-07,1994,10,127914576,57362581,Action,Warner Bros.,23,4 wins & 7 nominations.,,5.6,7%,R,Luis Llosa,110 min,USA,
866,905,Stand by Me,Stand by Me,1986-08-08,1986,8,127821217,52287414,Drama,Sony Pictures,23,Nominated for 1 Oscar. Another 5 wins & 10 nominations.,75.0,8.1,91%,R,Rob Reiner,89 min,USA,
867,906,Ever After: A Cinderella Story,Ever After A Cinderella Story,1998-07-31,1998,7,127624605,65705772,Drama,20th Century Fox,24,6 wins & 15 nominations.,66.0,7.0,91%,PG-13,Andy Tennant,121 min,USA,
868,907,Valentine's Day,Valentine's Day,2010-02-12,2010,2,127569617,110485654,Romantic Comedy,Warner Bros.,25,7 wins & 12 nominations.,34.0,5.7,18%,PG-13,Garry Marshall,125 min,USA,
869,908,Flightplan,Flightplan,2005-09-23,2005,9,127475620,89706988,Thriller/Suspense,Walt Disney,25,2 wins & 6 nominations.,53.0,6.3,37%,PG-13,Robert Schwentke,98 min,USA,
870,909,Step Brothers,Step Brothers,2008-07-25,2008,7,127475027,100468793,Comedy,Sony Pictures,25,3 wins & 2 nominations.,51.0,6.9,55%,R,Adam McKay,98 min,USA,
871,910,The Color of Money,The Color of Money,1986-10-17,1986,10,127472267,52293000,Drama,Walt Disney,23,Won 1 Oscar. Another 2 wins & 10 nominations.,77.0,7.0,89%,R,Martin Scorsese,119 min,USA,
872,911,Snow Dogs,Snow Dogs,2002-01-18,2002,1,127243160,81150692,Adventure,Walt Disney,25,1 win.,29.0,5.2,25%,PG,Brian Levant,99 min,"Canada, USA",
873,912,Bumblebee,Bumblebee,2018-12-21,2018,12,127195589,127195589,Adventure,Paramount Pictures,25,2 wins & 11 nominations.,66.0,6.8,90%,PG-13,Travis Knight,114 min,"China, USA",
874,913,L.A. Confidential,L.A. Confidential,1997-09-19,1997,9,127111329,64604977,Drama,Warner Bros.,24,Won 2 Oscars. Another 89 wins & 84 nominations.,90.0,8.2,99%,R,Curtis Hanson,138 min,USA,
875,914,Unbroken,Unbroken,2014-12-25,2014,12,127107129,115637895,Drama,Universal,25,Nominated for 3 Oscars. Another 15 wins & 29 nominations.,59.0,7.2,50%,PG-13,Angelina Jolie,137 min,USA,
876,915,Willow,Willow,1988-05-20,1988,5,126941227,57269863,Adventure,Sony Pictures,23,Nominated for 2 Oscars. Another 1 win & 9 nominations.,47.0,7.3,50%,PG,Ron Howard,126 min,USA,
877,916,You Don't Mess With the Zohan,You Don't Mess With the Zohan,2008-06-06,2008,6,126904122,100018837,Comedy,Sony Pictures,25,2 wins & 2 nominations.,54.0,5.5,37%,PG-13,Dennis Dugan,113 min,USA,
878,917,National Lampoon's European Vacation,National Lampoon's European Vacation,1985-07-26,1985,7,126770132,49400000,Comedy,Warner Bros.,23,1 win & 1 nomination.,47.0,6.2,36%,PG-13,Amy Heckerling,95 min,USA,
879,918,Norbit,Norbit,2007-02-09,2007,2,126684088,95673607,Comedy,Paramount Pictures,25,Nominated for 1 Oscar. Another 8 wins & 8 nominations.,27.0,4.1,9%,PG-13,Brian Robbins,102 min,USA,
