Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Junior,Junior,1994-11-23,1994,11,81267541,36763355,Comedy,Universal,23,Nominated for 1 Oscar. Another 4 nominations.,59,4.6,36%,PG-13,Ivan Reitman,109 min,USA
Bill & Ted's Bogus Journey,Bill & Ted's Bogus Journey,1991-07-19,1991,7,81227602,37537675,Adventure,Orion Pictures,23,1 win & 1 nomination.,60,6.3,54%,PG,Peter Hewitt,93 min,USA
The Doctor,The Doctor,1991-07-24,1991,7,81140620,37497480,Drama,Walt Disney,23,3 nominations.,N/A,7.0,82%,PG-13,Randa Haines,122 min,USA
Alice Through the Looking Glass,Alice Through the Looking Glass,2016-05-27,2016,5,81139427,77042381,Adventure,Walt Disney,25,4 wins & 20 nominations.,34,6.2,29%,PG,James Bobin,113 min,"USA, UK"
The `Burbs,The `Burbs,1989-02-17,1989,2,80785020,35382246,Comedy,Universal,23,1 nomination.,45,6.9,53%,PG,Joe Dante,102 min,USA
Pete’s Dragon,Pete’s Dragon,2016-08-12,2016,8,80287168,76233151,Adventure,Walt Disney,25,3 wins & 7 nominations.,71,6.7,88%,PG,David Lowery,102 min,USA
Like Father Like Son,Like Father Like Son,1987-10-02,1987,10,80097133,34377585,Comedy,Sony Pictures,23,4 nominations.,22,4.4,5%,PG-13,John Whitesell,107 min,USA
Men in Black: International,Men in Black International,2019-06-14,2019,6,80001807,80001807,Adventure,Sony Pictures,25,9 nominations.,38,5.6,23%,PG-13,F. Gary Gray,114 min,"China, USA"
Universal Soldier,Universal Soldier,1992-07-10,1992,7,79684833,36299898,Action,Sony Pictures,23,N/A,35,6.0,29%,R,Roland Emmerich,102 min,USA
Happy Gilmore,Happy Gilmore,1996-02-16,1996,2,79606268,38623460,Comedy,Universal,24,1 win & 4 nominations.,31,7.0,61%,PG-13,Dennis Dugan,92 min,USA
The Ghost and the Darkness,The Ghost and the Darkness,1996-10-11,1996,10,79424733,38564422,Action,Paramount Pictures,24,Won 1 Oscar. Another 4 nominations.,N/A,6.8,50%,R,Stephen Hopkins,110 min,"Germany, USA"
Nothing in Common,Nothing in Common,1986-07-30,1986,7,79372405,32324000,Comedy,Sony/TriStar,23,1 nomination.,62,5.9,57%,PG,Garry Marshall,118 min,USA
Licence to Kill,Licence to Kill,1989-07-14,1989,7,79151998,34667015,Action,MGM,23,1 nomination.,58,6.6,77%,PG-13,John Glen,133 min,"UK, Mexico, USA"
Caligula,Caligula,1980-02-01,1980,2,79099925,23400000,Drama,Analysis,22,2 nominations.,N/A,5.4,23%,Unrated,Tinto Brass,156 min,Italy
Dangerous Liaisons,Dangerous Liaisons,1988-12-21,1988,12,79091572,34700000,Drama,Warner Bros.,23,Won 3 Oscars. Another 18 wins & 20 nominations.,74,7.6,93%,R,Stephen Frears,119 min,"USA, UK"
Soapdish,Soapdish,1991-05-31,1991,5,78960296,36489888,Comedy,Paramount Pictures,23,N/A,65,6.6,69%,PG-13,Michael Hoffman,97 min,USA
Body Heat,Body Heat,1981-08-28,1981,8,78837539,24058000,Thriller/Suspense,Warner Bros.,23,Nominated for 1 Golden Globe. Another 5 nominations.,77,7.4,98%,R,Lawrence Kasdan,113 min,USA
Adventures in Babysitting,Adventures in Babysitting,1987-07-03,1987,7,78730251,33790923,Comedy,Walt Disney,23,2 wins & 4 nominations.,45,6.9,72%,PG-13,Chris Columbus,102 min,USA
Modern Problems,Modern Problems,1981-12-25,1981,12,78726015,24474312,Comedy,20th Century Fox,23,1 nomination.,27,5.1,27/100,PG,Ken Shapiro,93 min,USA
Seems Like Old Times,Seems Like Old Times,1980-12-19,1980,12,78569514,23200000,Romantic Comedy,Columbia,22,1 nomination.,58,6.7,72%,PG,Jay Sandrich,102 min,USA
Graduation Day,Graduation Day,1981-05-01,1981,5,78300122,23894000,Thriller/Suspense,IFI Scope,23,N/A,N/A,4.8,57%,R,Herb Freed,96 min,USA
Uncommon Valor,Uncommon Valor,1983-12-16,1983,12,78172254,27900000,Action,Paramount Pictures,23,N/A,38,6.4,56%,R,Ted Kotcheff,105 min,USA
Mississippi Burning,Mississippi Burning,1988-12-09,1988,12,77916026,34603000,Drama,Orion Pictures,23,Won 1 Oscar. Another 16 wins & 24 nominations.,65,7.8,83%,R,Alan Parker,128 min,USA
The Gods Must Be Crazy,The Gods Must Be Crazy,1984-07-09,1984,7,77652456,30031783,Comedy,20th Century Fox,23,2 wins & 3 nominations.,73,7.3,85%,PG,Jamie Uys,109 min,"South Africa, Botswana"
Red Heat,Red Heat,1988-06-17,1988,6,77567204,34994648,Action,Sony/TriStar,23,N/A,61,6.1,67%,R,Walter Hill,104 min,USA
Mars Attacks!,Mars Attacks!,1996-12-13,1996,12,77545914,37771017,Comedy,Warner Bros.,24,3 wins & 19 nominations.,52,6.3,54%,PG-13,Tim Burton,106 min,USA
Night School,Night School,2018-09-28,2018,9,77339130,77339130,Comedy,Universal,25,4 nominations.,43,5.6,27%,PG-13,Malcolm D. Lee,111 min,USA
Children of a Lesser God,Children of a Lesser God,1986-10-03,1986,10,77244382,31853080,Drama,Paramount Pictures,23,Won 1 Oscar. Another 5 wins & 11 nominations.,80,7.2,81%,R,Randa Haines,119 min,USA
Other People's Money,Other People's Money,1991-10-18,1991,10,77212115,35682000,Comedy,Warner Bros.,23,N/A,N/A,6.2,31%,R,Norman Jewison,103 min,USA
Xanadu,Xanadu,1980-08-08,1980,8,77088109,22762571,Musical,Universal,22,1 win & 10 nominations.,35,5.2,27%,PG,Robert Greenwald,96 min,USA
American Gigolo,American Gigolo,1980-02-01,1980,2,77024112,22743674,Drama,Paramount Pictures,22,N/A,57,6.3,68%,R,Paul Schrader,117 min,USA
Raging Bull,Raging Bull,1980-11-14,1980,11,76736700,23380203,Drama,United Artists,22,Won 2 Oscars. Another 22 wins & 28 nominations.,89,8.2,93%,R,Martin Scorsese,129 min,USA
Airplane II: The Sequel,Airplane II The Sequel,1982-12-10,1982,12,76562918,25009494,Comedy,Paramount Pictures,23,N/A,48,6.2,42%,PG,Ken Finkleman,85 min,USA
Never Cry Wolf,Never Cry Wolf,1983-10-07,1983,10,76370497,27668764,Drama,Walt Disney,23,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,N/A,7.5,100%,PG,Carroll Ballard,105 min,USA
Starman,Starman,1984-12-14,1984,12,76284890,28700000,Adventure,Sony Pictures,23,Nominated for 1 Oscar. Another 1 win & 5 nominations.,70,7.0,85%,PG,John Carpenter,115 min,USA
Mad Max 2: The Road Warrior,Mad Max 2 The Road Warrior,1982-05-21,1982,5,76229100,24600832,Action,Warner Bros.,23,8 wins & 10 nominations.,77,7.6,93%,R,George Miller,96 min,Australia
