Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Die Another Day,Die Another Day,2002-11-22,2002,11,251944803,160942139,Action,MGM,25,Nominated for 1 Golden Globe. Another 6 wins & 35 nominations.,56,6.1,57%,PG-13,Lee Tamahori,133 min,"UK, USA"
Patch Adams,Patch Adams,1998-12-25,1998,12,251890143,135014968,Comedy,Universal,24,Nominated for 1 Oscar. Another 1 win & 7 nominations.,25,6.8,22%,PG-13,Tom Shadyac,115 min,USA
My Best Friend's Wedding,My Best Friend's Wedding,1997-06-20,1997,6,251690761,126813153,Comedy,Sony Pictures,24,Nominated for 1 Oscar. Another 12 wins & 23 nominations.,50,6.3,73%,PG-13,P.J. Hogan,105 min,USA
How to Train Your Dragon,How to Train Your Dragon,2010-03-26,2010,3,251224967,217581232,Adventure,Paramount Pictures,25,Nominated for 2 Oscars. Another 25 wins & 60 nominations.,75,8.1,99%,PG,"Dean DeBlois, Chris Sanders",98 min,USA
Twins,Twins,1988-12-09,1988,12,250701042,111936388,Comedy,Universal,23,Nominated for 1 Golden Globe. Another 4 wins.,53,6.1,44%,PG,Ivan Reitman,107 min,USA
Ted,Ted,2012-06-29,2012,6,250256893,218665740,Comedy,Universal,25,Nominated for 1 Oscar. Another 13 wins & 27 nominations.,62,6.9,69%,R,Seth MacFarlane,106 min,USA
Sherlock Holmes,Sherlock Holmes,2009-12-25,2009,12,249678526,209028679,Adventure,Warner Bros.,25,Nominated for 2 Oscars. Another 10 wins & 29 nominations.,57,7.6,69%,PG-13,Guy Ritchie,128 min,"USA, Germany, UK, Australia"
Big Hero 6,Big Hero 6,2014-11-07,2014,11,247741449,222527828,Adventure,Walt Disney,25,Won 1 Oscar. Another 16 wins & 58 nominations.,74,7.8,89%,PG,"Don Hall, Chris Williams",102 min,USA
Madagascar 3: Europe's Most Wanted,Madagascar 3 Europe's Most Wanted,2012-06-08,2012,6,247654065,216391482,Adventure,Paramount Pictures,25,3 wins & 20 nominations.,60,6.8,79%,PG,"Eric Darnell, Tom McGrath, Conrad Vernon",93 min,USA
Tomorrow Never Dies,Tomorrow Never Dies,1997-12-19,1997,12,247306528,125304276,Action,MGM,24,Nominated for 1 Golden Globe. Another 6 wins & 9 nominations.,52,6.5,57%,PG-13,Roger Spottiswoode,119 min,"UK, USA"
The Martian,The Martian,2015-10-02,2015,10,246775224,228433663,Thriller/Suspense,20th Century Fox,25,Nominated for 7 Oscars. Another 40 wins & 188 nominations.,80,8.0,91%,PG-13,Ridley Scott,144 min,"UK, USA, Hungary, Jordan"
The Karate Kid,The Karate Kid,1984-06-22,1984,6,246229079,90815558,Action,Sony Pictures,23,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,60,7.2,88%,PG,John G. Avildsen,126 min,USA
Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016-11-18,2016,11,246056618,234037575,Adventure,Warner Bros.,25,Won 1 Oscar. Another 14 wins & 53 nominations.,66,7.3,74%,PG-13,David Yates,132 min,"UK, USA"
The Addams Family,The Addams Family,1991-11-22,1991,11,245711577,113502246,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,57,6.9,64%,PG-13,Barry Sonnenfeld,99 min,USA
Doctor Seuss' The Lorax,Doctor Seuss' The Lorax,2012-03-02,2012,3,244951985,214030500,Adventure,Universal,25,,,,,,,,
Doctor Strange,Doctor Strange,2016-11-04,2016,11,244918405,232641920,Action,Walt Disney,25,Nominated for 1 Oscar. Another 20 wins & 65 nominations.,72,7.5,89%,PG-13,Scott Derrickson,115 min,USA
Stuart Little,Stuart Little,1999-12-17,1999,12,244838748,140015224,Adventure,Sony Pictures,23,Nominated for 1 Oscar. Another 7 wins & 13 nominations.,61,5.9,67%,PG,Rob Minkoff,84 min,"Germany, USA"
Star Trek II: The Wrath of Khan,Star Trek II The Wrath of Khan,1982-06-04,1982,6,244522813,78912963,Adventure,Paramount Pictures,23,3 wins & 9 nominations.,67,7.7,87%,PG,Nicholas Meyer,113 min,USA
The Truman Show,The Truman Show,1998-06-05,1998,6,244004645,125618201,Drama,Paramount Pictures,24,Nominated for 3 Oscars. Another 40 wins & 65 nominations.,90,8.1,95%,PG,Peter Weir,103 min,USA
Twilight,Twilight,2008-11-21,2008,11,243728922,192769854,Drama,Summit Entertainment,25,29 wins & 15 nominations.,56,5.2,49%,PG-13,Catherine Hardwicke,122 min,USA
The Simpsons Movie,The Simpsons Movie,2007-07-27,2007,7,242494180,183135014,Adventure,20th Century Fox,25,Nominated for 1 Golden Globe. Another 5 wins & 33 nominations.,80,7.3,88%,PG-13,David Silverman,87 min,USA
Crocodile Dundee 2,Crocodile Dundee 2,1988-05-25,1988,5,242282126,109306210,Adventure,Paramount Pictures,23,,,,,,,,
The Little Mermaid,The Little Mermaid,1989-11-15,1989,11,241772713,111543479,Adventure,Walt Disney,23,Won 2 Oscars. Another 10 wins & 8 nominations.,88,7.6,93%,G,"Ron Clements, John Musker",83 min,USA
Fast Five,Fast Five,2011-04-29,2011,4,241284408,210031325,Action,Universal,25,9 wins & 21 nominations.,66,7.3,77%,PG-13,Justin Lin,130 min,"USA, Brazil, Japan"
Monsters vs. Aliens,Monsters vs. Aliens,2009-03-27,2009,3,240930986,198351526,Adventure,Paramount Pictures,25,3 wins & 9 nominations.,56,6.4,73%,PG,"Rob Letterman, Conrad Vernon",94 min,USA
Scooby-Doo,Scooby-Doo,2002-06-14,2002,6,240363132,153294164,Adventure,Warner Bros.,25,5 wins & 14 nominations.,35,5.1,30%,PG,Raja Gosnell,86 min,"USA, Australia"
Mission: Impossible—Ghost Protocol,Mission Impossible—Ghost Protocol,2011-12-16,2011,12,240261401,209397903,Action,Paramount Pictures,25,5 wins & 30 nominations.,73,7.4,94%,PG-13,Brad Bird,132 min,"USA, United Arab Emirates, Czech Republic, India, Canada"
Any Which Way You Can,Any Which Way You Can,1980-12-17,1980,12,239390968,70687344,Comedy,Warner Bros.,22,1 win & 2 nominations.,51,6.2,20%,PG,Buddy Van Horn,116 min,USA
The Green Mile,The Green Mile,1999-12-10,1999,12,239126149,136801374,Drama,Warner Bros.,23,Nominated for 4 Oscars. Another 15 wins & 33 nominations.,61,8.6,78%,R,Frank Darabont,189 min,USA
Ice Age: Dawn of the Dinosaurs,Ice Age Dawn of the Dinosaurs,2009-07-01,2009,7,238771524,196573705,Adventure,20th Century Fox,25,3 wins & 13 nominations.,50,6.9,46%,PG,"Carlos Saldanha, Mike Thurmeier(co-director)",94 min,USA
Shark Tale,Shark Tale,2004-10-01,2004,10,236759826,161412000,Adventure,Dreamworks SKG,25,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,48,6.0,36%,PG,"Bibo Bergeron, Vicky Jenson, Rob Letterman",90 min,USA
Private Benjamin,Private Benjamin,1980-10-10,1980,10,236546215,69847348,Comedy,Warner Bros.,22,Nominated for 3 Oscars. Another 1 win & 3 nominations.,59,6.2,82%,R,Howard Zieff,109 min,USA
A League of Their Own,A League of Their Own,1992-07-01,1992,7,236056398,107533925,Comedy,Sony Pictures,23,Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,67,7.3,78%,PG,Penny Marshall,128 min,USA
Pulp Fiction,Pulp Fiction,1994-10-14,1994,10,234852794,107928762,Drama,Miramax,23,Won 1 Oscar. Another 69 wins & 74 nominations.,94,8.9,91%,R,Quentin Tarantino,154 min,USA
Indecent Proposal,Indecent Proposal,1993-04-07,1993,4,234602433,106614059,Drama,Paramount Pictures,23,7 wins & 8 nominations.,35,6.0,35%,R,Adrian Lyne,117 min,USA
Interview with the Vampire: The Vampi…,Interview with the Vampire The Vampi…,1994-11-11,1994,11,234419276,105264608,Horror,Warner Bros.,23,,,,,,,,
Mulan,Mulan,1998-06-19,1998,6,234296482,120620254,Adventure,Walt Disney,24,Nominated for 1 Oscar. Another 17 wins & 20 nominations.,71,7.6,86%,G,"Tony Bancroft, Barry Cook",88 min,USA
American Pie 2,American Pie 2,2001-08-10,2001,8,233539223,145096820,Comedy,Universal,25,8 wins & 6 nominations.,43,6.4,52%,R,J.B. Rogers,108 min,USA
Dinosaur,Dinosaur,2000-05-19,2000,5,232817219,137748063,Adventure,Walt Disney,24,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,66,6.7,76%,PG,Peter Sohn,93 min,USA
The Fast and the Furious,The Fast and the Furious,2001-06-22,2001,6,232598433,144512310,Action,Universal,25,11 wins & 12 nominations.,58,6.8,53%,PG-13,Rob Cohen,106 min,"USA, Germany"
Justice League,Justice League,2017-11-17,2017,11,232544520,229024295,Action,Warner Bros.,25,2 wins & 13 nominations.,45,6.4,40%,PG-13,Zack Snyder,120 min,"USA, Canada, UK"
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014-07-11,2014,7,232539810,208545589,Adventure,20th Century Fox,25,Nominated for 1 Oscar. Another 17 wins & 47 nominations.,79,7.6,90%,PG-13,Matt Reeves,130 min,"USA, UK, Canada"
Casino Royale,Casino Royale,2006-11-17,2006,11,231864714,167365000,Action,Sony Pictures,25,Won 1 BAFTA Film Award. Another 26 wins & 44 nominations.,80,8.0,95%,PG-13,Martin Campbell,144 min,"UK, Czech Republic, USA, Germany, Bahamas"
Tangled,Tangled,2010-11-24,2010,11,231682049,200821936,Musical,Walt Disney,25,Nominated for 1 Oscar. Another 10 wins & 40 nominations.,71,7.7,89%,PG,"Nathan Greno, Byron Howard",100 min,USA
Poltergeist,Poltergeist,1982-06-04,1982,6,231487013,74706019,Horror,MGM,23,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,79,7.3,85%,PG,Tobe Hooper,114 min,USA
The Color Purple,The Color Purple,1985-12-18,1985,12,231352149,93589701,Drama,Warner Bros.,23,Nominated for 11 Oscars. Another 14 wins & 12 nominations.,78,7.8,81%,PG-13,Steven Spielberg,154 min,USA
Thor: The Dark World,Thor The Dark World,2013-11-08,2013,11,231221293,206362140,Action,Walt Disney,25,3 wins & 21 nominations.,54,6.9,66%,PG-13,Alan Taylor,112 min,USA
Driving Miss Daisy,Driving Miss Daisy,1989-12-13,1989,12,230680805,106593296,Drama,Warner Bros.,23,Won 4 Oscars. Another 17 wins & 24 nominations.,81,7.4,81%,PG,Bruce Beresford,99 min,USA
Logan,Logan,2017-03-03,2017,3,229808705,226277068,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 26 wins & 73 nominations.,77,8.1,93%,R,James Mangold,137 min,USA
The Fate of the Furious,The Fate of the Furious,2017-04-14,2017,4,229288406,225764765,Action,Universal,25,1 win & 11 nominations.,56,6.7,67%,PG-13,F. Gary Gray,136 min,"China, USA, Japan"
Lilo & Stitch,Lilo & Stitch,2002-06-21,2002,6,228567741,145771527,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 10 wins & 26 nominations.,73,7.2,86%,PG,"Dean DeBlois, Chris Sanders",85 min,USA
Madagascar: Escape 2 Africa,Madagascar Escape 2 Africa,2008-11-07,2008,11,228435327,180174880,Adventure,Paramount Pictures,25,4 wins & 11 nominations.,61,6.6,64%,PG,"Eric Darnell, Tom McGrath",89 min,USA
Parenthood,Parenthood,1989-08-02,1989,8,228430007,100047830,Comedy,Universal,23,Nominated for 2 Oscars. Another 4 wins & 12 nominations.,82,7.0,91%,PG-13,Ron Howard,124 min,USA
Coal Miner's Daughter,Coal Miner's Daughter,1980-03-07,1980,3,227522368,67182787,Drama,Universal,22,Won 1 Oscar. Another 9 wins & 13 nominations.,87,7.5,86%,PG,Michael Apted,124 min,USA
Terminator 3: Rise of the Machines,Terminator 3 Rise of the Machines,2003-07-01,2003,7,227158214,150358296,Action,Warner Bros.,25,3 wins & 24 nominations.,66,6.3,69%,R,Jonathan Mostow,109 min,"USA, Germany, UK"
American Beauty,American Beauty,1999-09-15,1999,9,227144586,130058047,Drama,Dreamworks SKG,23,Won 5 Oscars. Another 106 wins & 101 nominations.,84,8.3,87%,R,Sam Mendes,122 min,USA
Maverick,Maverick,1994-05-20,1994,5,226926684,101631272,Western,Warner Bros.,23,Nominated for 1 Oscar. Another 1 win & 1 nomination.,62,7.0,66%,PG,Richard Donner,127 min,USA
Ace Ventura: When Nature Calls,Ace Ventura When Nature Calls,1995-11-10,1995,11,226801075,108360063,Comedy,Warner Bros.,24,7 wins & 6 nominations.,45,6.4,31%,PG-13,Steve Oedekerk,90 min,USA
World War Z,World War Z,2013-06-21,2013,6,226752391,202359711,Action,Paramount Pictures,25,3 wins & 24 nominations.,63,7.0,66%,PG-13,Marc Forster,116 min,"USA, UK, Malta"
The World is Not Enough,The World is Not Enough,1999-11-19,1999,11,226691846,126930660,Action,MGM,23,7 wins & 12 nominations.,57,6.4,53%,PG-13,Michael Apted,128 min,"UK, USA"
The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014-05-02,2014,5,226193301,202853933,Action,Sony Pictures,25,4 wins & 30 nominations.,53,6.6,51%,PG-13,Marc Webb,142 min,USA
In the Line of Fire,In the Line of Fire,1993-07-09,1993,7,224985908,102243874,Thriller/Suspense,Sony Pictures,23,Nominated for 3 Oscars. Another 2 wins & 14 nominations.,74,7.2,96%,R,Wolfgang Petersen,128 min,USA
The Longest Yard,The Longest Yard,2005-05-27,2005,5,224722036,158119460,Comedy,Paramount Pictures,25,2 wins & 17 nominations.,48,6.4,31%,PG-13,Peter Segal,113 min,USA
48 Hrs.,48 Hrs.,1982-12-08,1982,12,224702596,75936265,Action,Paramount Pictures,23,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,71,6.9,93%,R,Walter Hill,96 min,USA
A Time to Kill,A Time to Kill,1996-07-24,1996,7,224176083,108766007,Drama,Warner Bros.,24,Nominated for 1 Golden Globe. Another 7 wins & 11 nominations.,54,7.5,67%,R,Joel Schumacher,149 min,USA
Back to School,Back to School,1986-06-13,1986,6,224086350,91258000,Comedy,Orion Pictures,23,1 win & 2 nominations.,68,6.6,85%,PG-13,Alan Metter,96 min,USA
Smokey and the Bandit II,Smokey and the Bandit II,1980-08-15,1980,8,223965879,66132626,Comedy,Universal,22,1 win & 5 nominations.,41,5.3,14%,PG,Hal Needham,100 min,USA
Dick Tracy,Dick Tracy,1990-06-15,1990,6,223947814,103738726,Action,Walt Disney,23,Won 3 Oscars. Another 6 wins & 36 nominations.,68,6.1,62%,PG,Warren Beatty,105 min,USA
Godzilla,Godzilla,2014-05-16,2014,5,223764867,200676069,Action,Warner Bros.,25,7 wins & 31 nominations.,62,6.4,75%,PG-13,Gareth Edwards,123 min,"USA, Japan"
Face/Off,Face/Off,1997-06-27,1997,6,222840011,112276146,Action,Paramount Pictures,24,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,82,7.3,92%,R,John Woo,138 min,USA
Wild Hogs,Wild Hogs,2007-03-02,2007,3,222736293,168213584,Comedy,Walt Disney,25,1 win & 4 nominations.,27,5.8,14%,PG-13,Walt Becker,100 min,USA
The Pelican Brief,The Pelican Brief,1993-12-17,1993,12,222685970,100768056,Drama,Warner Bros.,23,1 win & 2 nominations.,50,6.6,53%,PG-13,Alan J. Pakula,141 min,USA
xXx,xXx,2002-08-09,2002,8,222544282,141930000,Action,Sony Pictures,25,4 wins & 14 nominations.,48,5.9,48%,PG-13,Rob Cohen,124 min,USA
Goldeneye,Goldeneye,1995-11-17,1995,11,222467730,106429941,Action,MGM,24,Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,65,7.2,78%,PG-13,Martin Campbell,130 min,"UK, USA"
Unforgiven,Unforgiven,1992-08-07,1992,8,222212140,101157447,Western,Warner Bros.,23,Won 4 Oscars. Another 46 wins & 46 nominations.,85,8.2,96%,R,Clint Eastwood,130 min,USA
The Pursuit of Happyness,The Pursuit of Happyness,2006-12-15,2006,12,221849918,162586036,Drama,Sony Pictures,25,Nominated for 1 Oscar. Another 12 wins & 25 nominations.,64,8.0,67%,PG-13,Gabriele Muccino,117 min,USA
Mission: Impossible—Fallout,Mission Impossible—Fallout,2018-07-27,2018,7,220159104,220159104,Action,Paramount Pictures,25,Nominated for 1 BAFTA Film Award. Another 24 wins & 39 nominations.,86,7.7,97%,PG-13,Christopher McQuarrie,147 min,"USA, China, France, Norway, UK"
Police Academy,Police Academy,1984-03-23,1984,3,220155330,81198894,Comedy,Warner Bros.,23,1 win.,41,6.7,54%,R,Hugh Wilson,96 min,USA
Cars 2,Cars 2,2011-06-24,2011,6,219939150,191450875,Adventure,Walt Disney,25,Nominated for 1 Golden Globe. Another 1 win & 18 nominations.,57,6.1,39%,G,"John Lasseter, Bradford Lewis(co-director)",106 min,USA
Fantastic Four,Fantastic Four,2005-07-08,2005,7,219856668,154696080,Action,20th Century Fox,25,4 wins & 12 nominations.,40,5.7,27%,PG-13,Tim Story,106 min,"USA, Germany"
Sleeping with the Enemy,Sleeping with the Enemy,1991-02-08,1991,2,219849626,101599005,Thriller/Suspense,20th Century Fox,23,2 wins & 4 nominations.,48,6.3,20%,R,Joseph Ruben,99 min,USA
You've Got Mail,You've Got Mail,1998-12-18,1998,12,219339457,115821495,Drama,Warner Bros.,24,Nominated for 1 Golden Globe. Another 6 wins & 7 nominations.,57,6.6,69%,PG,Nora Ephron,119 min,USA
Dead Poets Society,Dead Poets Society,1989-06-02,1989,6,218868579,95860116,Drama,Walt Disney,23,Won 1 Oscar. Another 19 wins & 18 nominations.,79,8.1,84%,PG,Peter Weir,128 min,USA
X-Men Origins: Wolverine,X-Men Origins Wolverine,2009-05-01,2009,5,218498075,179883157,Action,20th Century Fox,25,3 wins & 18 nominations.,40,6.6,37%,PG-13,Gavin Hood,107 min,"USA, UK"
The Santa Clause 2,The Santa Clause 2,2002-11-01,2002,11,218249983,139225854,Adventure,Walt Disney,25,1 win & 3 nominations.,48,5.6,56%,G,Michael Lembeck,104 min,"USA, Canada"
Cinderella,Cinderella,2015-03-13,2015,3,217377081,201151353,Drama,Walt Disney,25,Nominated for 3 Oscars. Another 16 wins & 42 nominations.,69,8.0,80%,PG-13,Ron Howard,144 min,USA
The First Wives Club,The First Wives Club,1996-09-20,1996,9,217359772,105489203,Comedy,Paramount Pictures,24,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,58,6.4,50%,PG,Hugh Wilson,103 min,USA
Footloose,Footloose,1984-02-17,1984,2,216904755,80000000,Musical,Paramount Pictures,23,Nominated for 2 Oscars. Another 1 win & 4 nominations.,42,6.6,51%,PG,Herbert Ross,107 min,USA
Ant-Man and the Wasp,Ant-Man and the Wasp,2018-07-06,2018,7,216648740,216648740,Action,Walt Disney,25,18 nominations.,70,7.1,88%,PG-13,Peyton Reed,118 min,USA
Wreck-It Ralph,Wreck-It Ralph,2012-11-02,2012,11,216516450,189412677,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,72,7.7,87%,PG,Rich Moore,101 min,USA
Bohemian Rhapsody,Bohemian Rhapsody,2018-11-02,2018,11,216303340,216303339,Drama,20th Century Fox,25,Won 4 Oscars. Another 40 wins & 76 nominations.,49,8.0,60%,PG-13,Bryan Singer,134 min,"UK, USA"
Spectre,Spectre,2015-11-06,2015,11,216131343,200074175,Action,Sony Pictures,25,Won 1 Oscar. Another 7 wins & 34 nominations.,60,6.8,63%,PG-13,Sam Mendes,148 min,"UK, USA, Austria, Mexico, Italy, Morocco"
The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas,1982-07-23,1982,7,215980235,69701637,Comedy,Universal,23,Nominated for 1 Oscar. Another 2 nominations.,40,6.0,56%,R,Colin Higgins,114 min,USA
Phenomenon,Phenomenon,1996-07-05,1996,7,215657149,104636382,Drama,Walt Disney,24,7 wins & 8 nominations.,41,6.4,50%,PG,Jon Turteltaub,123 min,USA
Over the Hedge,Over the Hedge,2006-05-19,2006,5,215607044,155019340,Adventure,Paramount Pictures,25,7 wins & 26 nominations.,67,6.7,75%,PG,"Tim Johnson, Karey Kirkpatrick",83 min,USA
Night at the Museum: Battle of the Sm…,Night at the Museum Battle of the Sm…,2009-05-22,2009,5,215292039,177243721,Adventure,20th Century Fox,25,,,,,,,,
A Star is Born,A Star is Born,2018-10-05,2018,10,215288866,215288866,Drama,Warner Bros.,25,Won 1 Oscar. Another 94 wins & 274 nominations.,88,7.7,90%,R,Bradley Cooper,136 min,USA
WarGames,WarGames,1983-06-03,1983,6,215267378,74433837,Thriller/Suspense,MGM,23,Nominated for 3 Oscars. Another 4 wins & 11 nominations.,77,7.1,93%,PG,John Badham,114 min,USA
Schindler’s List,Schindler’s List,1993-12-15,1993,12,215056017,96898818,Drama,Universal,23,Won 7 Oscars. Another 83 wins & 49 nominations.,94,8.9,97%,R,Steven Spielberg,195 min,USA
Quantum of Solace,Quantum of Solace,2008-11-14,2008,11,214757090,169368427,Action,Sony Pictures,25,Nominated for 2 BAFTA Film Awards. Another 4 wins & 30 nominations.,58,6.6,65%,PG-13,Marc Forster,106 min,"UK, USA"
Enemy of the State,Enemy of the State,1998-11-20,1998,11,214481613,111549836,Action,Walt Disney,24,5 wins & 16 nominations.,67,7.3,72%,R,Tony Scott,132 min,USA
Sherlock Holmes: A Game of Shadows,Sherlock Holmes A Game of Shadows,2011-12-16,2011,12,214435626,186848418,Action,Warner Bros.,25,3 wins & 11 nominations.,48,7.5,60%,PG-13,Guy Ritchie,129 min,"USA, UK"
22 Jump Street,22 Jump Street,2014-06-13,2014,6,213777619,191719337,Comedy,Sony Pictures,25,7 wins & 24 nominations.,71,7.0,85%,R,"Phil Lord, Christopher Miller",112 min,USA
Solo: A Star Wars Story,Solo A Star Wars Story,2018-05-25,2018,5,213767512,213767512,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,62,6.9,70%,PG-13,Ron Howard,135 min,USA
Venom,Venom,2018-10-05,2018,10,213511408,213511408,Action,Sony Pictures,25,3 wins & 9 nominations.,35,6.7,30%,PG-13,Ruben Fleischer,112 min,"China, USA"
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2014-08-08,2014,8,213203826,191204754,Adventure,Paramount Pictures,25,1 win & 10 nominations.,31,5.8,21%,PG-13,Jonathan Liebesman,101 min,USA
Batman & Robin,Batman & Robin,1997-06-20,1997,6,213013618,107325195,Action,Warner Bros.,24,10 wins & 22 nominations.,28,3.7,11%,PG-13,Joel Schumacher,125 min,"USA, UK"
Coco,Coco,2017-11-22,2017,11,212532784,209726015,Musical,Walt Disney,25,Won 2 Oscars. Another 108 wins & 37 nominations.,81,8.4,97%,PG,"Lee Unkrich, Adrian Molina(co-director)",105 min,USA
"I, Robot","I, Robot",2004-07-16,2004,7,212421468,144801023,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 1 win & 13 nominations.,59,7.1,59/100,PG-13,Alex Proyas,115 min,"USA, Germany"
Erin Brockovich,Erin Brockovich,2000-03-17,2000,3,212198237,125548685,Drama,Universal,24,Won 1 Oscar. Another 32 wins & 59 nominations.,73,7.3,84%,R,Steven Soderbergh,131 min,USA
When Harry Met Sally…,When Harry Met Sally…,1989-07-14,1989,7,211912083,92823546,Romantic Comedy,Columbia,23,Nominated for 1 Oscar. Another 4 wins & 16 nominations.,76,7.6,90%,R,Rob Reiner,95 min,USA
It: Chapter Two,It Chapter Two,2019-09-06,2019,9,211593228,211593228,Horror,Warner Bros.,25,5 wins & 18 nominations.,58,6.6,63%,R,Andy Muschietti,169 min,"Canada, USA"
Charlie's Angels,Charlie's Angels,2000-11-03,2000,11,211585489,125305545,Action,Sony Pictures,24,15 wins & 30 nominations.,52,5.5,68%,PG-13,McG,98 min,"USA, Germany"
Lara Croft: Tomb Raider,Lara Croft Tomb Raider,2001-06-15,2001,6,211081889,131144183,Adventure,Paramount Pictures,25,4 wins & 17 nominations.,33,5.8,20%,PG-13,Simon West,100 min,"USA, UK, Japan, Germany"
Mission: Impossible—Rogue Nation,Mission Impossible—Rogue Nation,2015-07-31,2015,7,210775328,195042377,Action,Paramount Pictures,25,6 wins & 24 nominations.,75,7.4,93%,PG-13,Christopher McQuarrie,131 min,"USA, China, Hong Kong, Austria, UK, Morocco"
The Matrix Revolutions,The Matrix Revolutions,2003-11-05,2003,11,210364859,139270910,Action,Warner Bros.,25,5 wins & 35 nominations.,47,6.8,35%,R,"Lana Wachowski, Lilly Wachowski",129 min,USA
Casper,Casper,1995-05-26,1995,5,210112603,100328194,Comedy,Universal,24,4 wins & 5 nominations.,49,6.1,47%,PG,Brad Silberling,100 min,USA
The Croods,The Croods,2013-03-22,2013,3,209729928,187168425,Adventure,20th Century Fox,25,Nominated for 1 Oscar. Another 5 wins & 45 nominations.,55,7.2,71%,PG,"Kirk DeMicco, Chris Sanders",98 min,USA
Interstellar,Interstellar,2014-11-05,2014,11,209470922,188017894,Adventure,Paramount Pictures,25,Won 1 Oscar. Another 43 wins & 147 nominations.,74,8.6,72%,PG-13,Christopher Nolan,169 min,"USA, UK, Canada"
Die Hard: With a Vengeance,Die Hard With a Vengeance,1995-05-19,1995,5,209451463,100012499,Action,20th Century Fox,24,2 wins & 3 nominations.,58,7.6,57%,R,John McTiernan,128 min,USA
Bad Boys II,Bad Boys II,2003-07-18,2003,7,209304691,138540870,Action,Sony Pictures,25,5 wins & 13 nominations.,38,6.6,23%,R,Michael Bay,147 min,USA
Se7en,Se7en,1995-09-22,1995,9,209256846,100125643,Thriller/Suspense,New Line,24,Nominated for 1 Oscar. Another 29 wins & 40 nominations.,65,8.6,81%,R,David Fincher,127 min,USA
Aliens,Aliens,1986-07-18,1986,7,209113163,85160248,Action,20th Century Fox,23,Won 2 Oscars. Another 18 wins & 23 nominations.,84,8.3,97%,R,James Cameron,137 min,"USA, UK"
Double Jeopardy,Double Jeopardy,1999-09-24,1999,9,209063313,116735231,Action,Paramount Pictures,23,1 win & 3 nominations.,40,6.5,27%,R,Bruce Beresford,105 min,"USA, Germany, Canada"
Jumanji,Jumanji,1995-12-15,1995,12,208971867,100458310,Adventure,Sony Pictures,24,5 wins & 14 nominations.,58,6.9,76%,PG-13,Jake Kasdan,119 min,"USA, India, Canada, UK, Australia, Germany"
George Of The Jungle,George Of The Jungle,1997-07-16,1997,7,208921188,105263257,Adventure,Walt Disney,24,1 win & 3 nominations.,53,5.5,57%,PG,Sam Weisman,92 min,USA
Eraser,Eraser,1996-06-21,1996,6,208778853,101295562,Action,Warner Bros.,24,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,56,6.1,37%,R,Chuck Russell,115 min,USA
Nutty Professor II: The Klumps,Nutty Professor II The Klumps,2000-07-28,2000,7,208411010,123307945,Comedy,Universal,24,2 wins & 15 nominations.,38,4.4,26%,PG-13,Peter Segal,106 min,USA
Notting Hill,Notting Hill,1999-05-28,1999,5,208184435,116089678,Romantic Comedy,Universal,23,Nominated for 3 Golden Globes. Another 11 wins & 14 nominations.,68,7.1,83%,PG-13,Roger Michell,124 min,"UK, USA"
Thor,Thor,2011-05-06,2011,5,207968346,181030624,Action,Paramount Pictures,25,5 wins & 30 nominations.,57,7.0,77%,PG-13,Kenneth Branagh,115 min,USA
Lincoln,Lincoln,2012-11-09,2012,11,207619742,182207973,Drama,Walt Disney,25,Won 2 Oscars. Another 107 wins & 249 nominations.,86,7.3,89%,PG-13,Steven Spielberg,150 min,"USA, India"
Scream,Scream,1996-12-20,1996,12,207508837,103046663,Horror,Miramax,24,11 wins & 10 nominations.,65,7.2,79%,R,Wes Craven,111 min,USA
Star Trek III: The Search for Spock,Star Trek III The Search for Spock,1984-06-01,1984,6,207336667,76471046,Adventure,Paramount Pictures,23,1 win & 7 nominations.,56,6.7,80%,PG,Leonard Nimoy,105 min,USA
