Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Out for Justice,Out for Justice,1991-04-12,1991,4,85848568,39673161,Action,Warner Bros.,23,,38.0,6.1,23%,R,John Flynn,91 min,USA
Teen Wolf,Teen Wolf,1985-08-23,1985,8,84906767,33086611,Comedy,Atlantic,23,,25.0,6.1,44%,PG,Rod Daniel,91 min,USA
Easy Money,Easy Money,1983-08-19,1983,8,84765699,29309766,Comedy,Orion Pictures,23,,48.0,6.3,60%,R,James Signorelli,95 min,USA
It Could Happen To You,It Could Happen To You,1994-07-29,1994,7,84366562,37784369,Romantic Comedy,Sony Pictures,23,,64.0,6.4,71%,PG,Andrew Bergman,101 min,USA
The Dead Pool,The Dead Pool,1988-07-13,1988,7,84013705,37903000,Action,Warner Bros.,23,,46.0,6.3,57%,R,Buddy Van Horn,91 min,USA
No Way Out,No Way Out,1987-08-14,1987,8,82734442,35509515,Thriller/Suspense,Orion Pictures,23,,77.0,7.1,91%,R,Roger Donaldson,114 min,USA
The Paper,The Paper,1994-03-18,1994,3,82097862,36768310,Comedy,Universal,23,,70.0,6.6,88%,R,Ron Howard,112 min,USA
Universal Soldier,Universal Soldier,1992-07-10,1992,7,79684833,36299898,Action,Sony Pictures,23,,35.0,6.0,29%,R,Roland Emmerich,102 min,USA
Soapdish,Soapdish,1991-05-31,1991,5,78960296,36489888,Comedy,Paramount Pictures,23,,65.0,6.6,69%,PG-13,Michael Hoffman,97 min,USA
Graduation Day,Graduation Day,1981-05-01,1981,5,78300122,23894000,Thriller/Suspense,IFI Scope,23,,,4.8,57%,R,Herb Freed,96 min,USA
Uncommon Valor,Uncommon Valor,1983-12-16,1983,12,78172254,27900000,Action,Paramount Pictures,23,,38.0,6.4,56%,R,Ted Kotcheff,105 min,USA
Red Heat,Red Heat,1988-06-17,1988,6,77567204,34994648,Action,Sony/TriStar,23,,61.0,6.1,67%,R,Walter Hill,104 min,USA
Other People's Money,Other People's Money,1991-10-18,1991,10,77212115,35682000,Comedy,Warner Bros.,23,,,6.2,31%,R,Norman Jewison,103 min,USA
American Gigolo,American Gigolo,1980-02-01,1980,2,77024112,22743674,Drama,Paramount Pictures,22,,57.0,6.3,68%,R,Paul Schrader,117 min,USA
Airplane II: The Sequel,Airplane II The Sequel,1982-12-10,1982,12,76562918,25009494,Comedy,Paramount Pictures,23,,48.0,6.2,42%,PG,Ken Finkleman,85 min,USA
Fletch Lives,Fletch Lives,1989-03-17,1989,3,75955153,33266859,Comedy,Universal,23,,40.0,6.1,37%,PG,Michael Ritchie,95 min,USA
Teachers,Teachers,1984-10-05,1984,10,75103268,27700000,Drama,MGM/UA Classics,23,,39.0,6.1,67%,R,Arthur Hiller,107 min,USA
In Search of Historic Jesus,In Search of Historic Jesus,1980-01-01,1980,1,74505570,22000000,,Sunn Classics Pictures,22,,,4.7,,,,,
Spring Break,Spring Break,1983-03-25,1983,3,69616780,24071666,Comedy,Sony Pictures,23,,,5.1,,,,,
The First Purge,The First Purge,2018-07-04,2018,7,69488748,69488745,Horror,Universal,25,,54.0,5.2,55%,R,Gerard McMurray,97 min,USA
Soul Man,Soul Man,1986-10-24,1986,10,67075618,27316198,Comedy,New World,23,,33.0,5.2,13%,PG-13,Steve Miner,104 min,USA
